,Hurunui Mouse,Homebush Madison,Miss Matilda,Mr Muggins,Go Again,Homebush Faith
10-01-2023 08:03:19.558065,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:03:20.418663,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:03:21.293659,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:03:22.119961,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:03:23.014564,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:03:23.846699,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:03:24.813604,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:03:25.742657,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:03:26.663177,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
10-01-2023 08:03:27.608455,"(6.0, 23.0, 18.675)","(8.0, 34.0, 25.6875)","(12.0, 60.0, 53.8125)","(6.5, 25.0, 20.25)","(1.65, 2.64, 2.3671875)","(6.0, 23.0, 18.675)"
