,Jimmy The Bear,El Crimp Adore,Real Mickoy,Little Amelia,Behind Greywalls,Shes The One,Magic Bee,Donald Lane
10-01-2023 18:52:55.716750,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:57.003268,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.2800000000000002)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:58.183850,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 3.2344827586206897)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:52:59.410610,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 3.2344827586206897)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:00.591687,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 3.2344827586206897)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:01.803885,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 3.2344827586206897)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:02.992023,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 3.2344827586206897)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:04.228357,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:05.477611,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
10-01-2023 18:53:06.770715,"(4.4, 7.2, 6.158333333333333)","(2.15, 3.4, 2.3866666666666663)","(5.5, 9.0, 8.733333333333334)","(5.0, 8.0, 7.727272727272727)","(81.0, 550.0, 470.83333333333337)","(18.0, 55.0, 37.27272727272727)","(14.0, 32.0, 30.227272727272727)","(9.0, 20.0, 19.28)"
