,Spring Monica,Bow Down,Roxy Rover,Undoing,Snowy Jinx,Shakira Blaze
06-01-2023 10:42:18.023529,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.475)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:18.978232,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.475)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:19.942361,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.475)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:20.916395,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.475)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:21.879322,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.475)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:22.748798,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.475)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:23.682147,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.475)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:24.704517,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.475)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:25.617399,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.475)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:26.593527,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 5.23)","(6.0, 11.5, 6.318181818181818)"
06-01-2023 10:42:27.529420,"(2.3, 3.5, 2.7266666666666666)","(71.0, 580.0, 317.5)","(14.0, 30.0, 22.5)","(4.2, 6.6, 4.3545454545454545)","(2.7, 5.5, 4.16)","(6.0, 11.5, 6.318181818181818)"
