,Mr Oklahoma City,Legionary,Gist,Hit One Out,Country Brave,Im Crenshaw,Spirit Of Spoatie,Canonize
15-12-2022 13:45:25.330576,"(13.0, 25.0, 18.0)","(4.4, 6.2, 5.742857142857143)","(18.0, 95.0, 66.5)","(8.0, 11.5, 10.4)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.4, 4.2)","(5.0, 6.2, 5.39)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:26.780680,"(13.0, 25.0, 18.0)","(4.4, 6.2, 5.742857142857143)","(18.0, 95.0, 52.25)","(8.0, 11.5, 9.0625)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.4, 4.2)","(5.0, 6.2, 5.39)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:27.834708,"(13.0, 25.0, 18.0)","(4.4, 6.2, 5.742857142857143)","(18.0, 95.0, 52.25)","(8.0, 10.5, 9.0625)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.4, 4.2)","(5.0, 6.2, 5.39)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:28.903682,"(13.0, 25.0, 18.0)","(4.4, 6.2, 5.742857142857143)","(18.0, 95.0, 57.2)","(8.0, 10.5, 8.583333333333332)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.4, 4.2)","(5.0, 6.2, 5.45)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:30.136089,"(13.0, 25.0, 23.0)","(4.4, 6.4, 5.672727272727273)","(18.0, 95.0, 68.85714285714286)","(8.0, 10.5, 8.583333333333332)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.4, 4.2)","(5.0, 6.2, 5.45)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:31.259525,"(13.0, 25.0, 18.0)","(4.4, 6.4, 5.672727272727273)","(20.0, 95.0, 57.2)","(8.0, 10.5, 8.583333333333332)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.4, 4.2)","(5.0, 6.2, 5.45)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:32.478447,"(13.0, 25.0, 18.0)","(4.4, 6.4, 5.672727272727273)","(20.0, 95.0, 57.2)","(8.0, 10.5, 8.583333333333332)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.4, 4.333333333333333)","(5.0, 6.2, 5.45)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:33.941989,"(13.0, 25.0, 18.0)","(4.4, 6.4, 5.672727272727273)","(20.0, 95.0, 63.5)","(8.0, 10.5, 8.583333333333332)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.5, 4.233333333333333)","(5.0, 6.2, 5.4799999999999995)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:35.486885,"(13.0, 25.0, 18.0)","(4.4, 6.4, 5.672727272727273)","(20.0, 95.0, 63.5)","(8.0, 10.5, 8.583333333333332)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.7, 4.233333333333333)","(5.0, 6.2, 6.0875)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:36.706421,"(13.0, 25.0, 18.0)","(4.4, 6.4, 6.0)","(20.0, 95.0, 63.5)","(8.0, 10.5, 8.583333333333332)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.7, 4.233333333333333)","(5.0, 6.2, 6.0875)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:37.923192,"(13.0, 25.0, 18.0)","(4.4, 6.4, 6.0)","(20.0, 95.0, 63.5)","(8.0, 10.5, 8.583333333333332)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.7, 4.466666666666667)","(5.0, 6.2, 6.0875)","(9.0, 11.0, 9.533333333333333)"
15-12-2022 13:45:39.150066,"(13.0, 25.0, 18.0)","(4.4, 6.4, 6.0)","(20.0, 95.0, 63.5)","(8.0, 10.5, 8.583333333333332)","(6.5, 8.4, 7.933333333333334)","(4.0, 4.7, 4.466666666666667)","(5.0, 6.2, 6.0875)","(9.0, 11.0, 9.533333333333333)"
