,Mary Austin Nz,Plains In Heaven,Emer,Direct Command Nz,Carramar Solomona,Machane Said,Puzzle Piece
07-12-2022 18:38:53.179499,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.5, 3.425)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:54.185256,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.59)","(5.0, 7.8, 7.657142857142857)"
07-12-2022 18:38:55.227970,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.4699999999999998)","(5.0, 7.8, 7.425)"
07-12-2022 18:38:56.182036,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.61)","(5.0, 7.8, 7.425)"
07-12-2022 18:38:57.183034,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.61)","(5.0, 7.8, 7.425)"
07-12-2022 18:38:58.257913,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.65)","(5.0, 7.8, 7.425)"
07-12-2022 18:38:59.299061,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 6.3533333333333335)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.55)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:00.276037,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.4, 5.7)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.55)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:01.406540,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 5.7, 6.1)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3777777777777778)","(3.4, 3.75, 3.716666666666667)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:02.463516,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 6.0181818181818185)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.72)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:03.365571,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 6.0181818181818185)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.72)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:04.277403,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 6.0181818181818185)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.72)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:05.209286,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 6.0181818181818185)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.72)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:06.131787,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 6.0181818181818185)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.72)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:07.153995,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 6.0181818181818185)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.72)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:08.086641,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 6.0181818181818185)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.72)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:09.067501,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 5.66)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.72)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:10.029702,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 5.8625)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.72)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:10.982139,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 5.8625)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.72)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:12.002183,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 5.8625)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.72)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:13.023100,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 5.8625)","(10.0, 99999, 99990)","(2.6, 3.5, 3.3636363636363633)","(3.4, 3.75, 3.72)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:14.016227,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 5.8625)","(10.0, 99999, 99990)","(2.6, 3.5, 3.356)","(3.4, 3.75, 4.084090909090909)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:15.054033,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 5.8625)","(10.0, 99999, 99990)","(2.6, 3.5, 3.356)","(3.4, 4.1, 4.084090909090909)","(5.0, 7.8, 7.425)"
07-12-2022 18:39:16.043459,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 5.8625)","(10.0, 99999, 99990)","(2.6, 3.5, 3.356)","(3.4, 4.1, 4.03421052631579)","(5.0, 7.8, 7.32)"
07-12-2022 18:39:17.008470,"(41.0, 99999, 99990)","(21.0, 38.0, 33.0)","(4.2, 6.2, 5.728571428571429)","(10.0, 99999, 99990)","(2.6, 3.45, 3.3093749999999997)","(3.4, 4.2, 4.052631578947368)","(5.0, 7.8, 7.32)"
07-12-2022 18:39:18.004908,"(41.0, 99999, 99990)","(21.0, 38.0, 32.0)","(4.2, 6.2, 5.678947368421053)","(10.0, 99999, 99990)","(2.6, 3.45, 3.268181818181818)","(3.4, 4.4, 4.386206896551725)","(5.0, 7.8, 7.05)"
