,Joint Forces,Mango Tango Wine,Mr Tangles,Sea Stitch,Falvelon Delight,Mrs Gloop,Paparazzi Rocket,Stars And Shadows,Talk Crazy,Cosmic Starlet,Miss Starlette
07-01-2023 13:34:56.803166,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.057142857142857)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.394736842105263)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(6.0, 8.4, 7.066666666666666)","(9.0, 12.0, 10.75)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 45.714285714285715)"
07-01-2023 13:34:58.151835,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.057142857142857)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.394736842105263)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 83.33333333333333)","(6.0, 8.4, 7.066666666666666)","(9.0, 12.0, 10.75)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 45.714285714285715)"
07-01-2023 13:34:59.431676,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.1, 5.007692307692308)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 83.33333333333333)","(6.0, 8.4, 7.066666666666666)","(9.0, 12.0, 11.0)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 45.714285714285715)"
07-01-2023 13:35:00.756536,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.1, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 83.33333333333333)","(6.0, 8.4, 7.066666666666666)","(9.0, 12.0, 11.214285714285715)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 45.714285714285715)"
07-01-2023 13:35:02.121641,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(6.0, 8.4, 7.066666666666666)","(9.0, 12.0, 11.305263157894737)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 45.714285714285715)"
07-01-2023 13:35:03.508164,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 79.16666666666667)","(6.0, 8.4, 7.066666666666666)","(9.0, 12.0, 10.5)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 45.714285714285715)"
07-01-2023 13:35:04.952538,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 6.1000000000000005)","(71.0, 100.0, 83.33333333333333)","(6.0, 8.4, 7.066666666666666)","(9.0, 12.0, 11.0)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 45.714285714285715)"
07-01-2023 13:35:06.387423,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.394736842105263)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 5.9)","(71.0, 100.0, 83.33333333333333)","(6.0, 8.4, 7.066666666666666)","(9.0, 11.5, 10.785714285714286)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 45.714285714285715)"
07-01-2023 13:35:07.801710,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.9, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.4, 5.800000000000001)","(71.0, 100.0, 83.33333333333333)","(6.0, 8.4, 7.066666666666666)","(9.0, 11.5, 10.785714285714286)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 45.714285714285715)"
07-01-2023 13:35:09.130207,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.2, 5.842857142857143)","(71.0, 100.0, 83.33333333333333)","(6.0, 8.4, 7.066666666666666)","(9.0, 11.5, 10.785714285714286)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 42.857142857142854)"
07-01-2023 13:35:10.498074,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.2, 5.842857142857143)","(71.0, 100.0, 83.33333333333333)","(6.0, 8.4, 7.066666666666666)","(9.0, 11.5, 10.785714285714286)","(61.0, 210.0, 166.66666666666669)","(31.0, 60.0, 47.5)"
07-01-2023 13:35:11.902484,"(11.0, 14.0, 13.035714285714286)","(4.0, 5.2, 5.154545454545454)","(9.0, 13.0, 11.568181818181818)","(4.8, 5.8, 5.6)","(31.0, 95.0, 55.714285714285715)","(4.6, 6.2, 6.014814814814815)","(71.0, 100.0, 83.33333333333333)","(6.0, 8.4, 7.066666666666666)","(9.0, 11.5, 10.785714285714286)","(61.0, 210.0, 166.66666666666669)","(31.0, 55.0, 52.4)"
