,Me And You,Sunburst,Just Like Mick,Symi Fortuna,Sorority
08-01-2023 19:09:41.951665,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.8957142857142857)","(3.8, 4.4, 3.8400000000000003)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:42.831245,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.924)","(3.8, 4.5, 3.8600000000000003)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:43.664934,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.924)","(3.8, 4.5, 3.82)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:44.535527,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.924)","(3.8, 4.5, 3.82)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:45.432053,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.924)","(3.8, 4.5, 3.82)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:46.338685,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.924)","(3.8, 4.5, 3.82)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:47.285631,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.8, 3.7384615384615385)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:48.212295,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.8, 3.7384615384615385)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 6.5)"
08-01-2023 19:09:49.089609,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.8, 4.109999999999999)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 6.5)"
08-01-2023 19:09:50.039182,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.8, 4.109999999999999)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 6.5)"
08-01-2023 19:09:50.932179,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.8, 4.109999999999999)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 7.057142857142857)"
08-01-2023 19:09:51.844885,"(13.0, 36.0, 31.75)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.7, 4.128571428571429)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.2, 6.253846153846154)"
08-01-2023 19:09:52.706298,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.9076923076923076)","(31.0, 330.0, 84.85714285714286)","(5.5, 10.5, 6.253846153846154)"
08-01-2023 19:09:53.538391,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.9076923076923076)","(31.0, 330.0, 84.85714285714286)","(5.5, 10.5, 6.253846153846154)"
08-01-2023 19:09:54.519411,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.9076923076923076)","(31.0, 330.0, 84.85714285714286)","(5.5, 10.0, 6.875)"
08-01-2023 19:09:55.413683,"(13.0, 36.0, 30.333333333333336)","(1.45, 1.95, 1.9041176470588235)","(3.8, 4.6, 3.9076923076923076)","(31.0, 330.0, 84.85714285714286)","(5.5, 9.8, 6.875)"
