,Princess Damiro,Powered Up,Farmor Frisky,Skylark Bully,Shian Kelly
10-01-2023 14:27:32.242458,"(2.6, 3.8, 3.2583333333333333)","(1.9, 1.9, 1.844931506849315)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:33.179441,"(2.6, 3.8, 3.2583333333333333)","(1.9, 1.9, 1.844931506849315)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:34.118646,"(2.6, 3.8, 3.2583333333333333)","(1.9, 1.9, 1.844931506849315)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:35.108516,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.844931506849315)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:36.088000,"(2.6, 4.0, 3.2916666666666665)","(1.9, 1.9, 1.8448464163822527)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:37.062122,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.8448464163822527)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:38.129007,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.8448464163822527)","(4.2, 9.0, 8.67)","(101.0, 730.0, 564.375)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:39.077118,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.67)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:40.033882,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.67)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:41.001721,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.67)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:41.844314,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.67)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
10-01-2023 14:27:42.817512,"(2.6, 4.0, 3.227272727272727)","(1.9, 1.9, 1.7922666666666667)","(4.2, 9.0, 8.67)","(101.0, 730.0, 685.8333333333333)","(12.0, 24.0, 19.75)"
