,Jayville Mac,Typhoon Missile,Orford Bale,Alvarez Bale,Groomsman,Son Of Brock,Was A Soldier,Chasing Boyd
04-01-2023 13:12:45.072736,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.6999999999999997)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:46.263349,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.784375)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:47.462101,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.385)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:48.622659,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.385)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:49.753789,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.385)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:50.849685,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.385)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:51.888580,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.385)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:53.047370,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.385)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:54.239395,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.385)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:55.400115,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.385)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:56.414288,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.385)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:57.518467,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.385)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:58.633055,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.385)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
04-01-2023 13:12:59.934413,"(5.5, 8.8, 8.3625)","(18.0, 60.0, 46.40625)","(18.0, 65.0, 43.86363636363637)","(3.1, 4.6, 3.385)","(17.0, 40.0, 27.25)","(2.8, 4.9, 3.2025)","(10.0, 22.0, 21.0)","(6.0, 11.5, 9.777777777777779)"
