,American Russ,Ebony King,Hanibal Hero,Mahjing,Dirty Grin,Gringotts,Shakattak,Tapin Three,Terrestar
11-01-2023 15:37:26.237849,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 280.0, 215.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.702325581395349)","(4.6, 5.9, 5.83235294117647)","(2.45, 2.96, 2.9398816568047335)","(8.5, 9.6, 9.461538461538462)"
11-01-2023 15:37:27.453315,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 280.0, 215.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.8, 4.6567567567567565)","(4.6, 5.9, 5.83235294117647)","(2.45, 2.96, 2.9816985138004246)","(8.5, 9.6, 9.45185185185185)"
11-01-2023 15:37:28.669754,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 280.0, 215.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.670588235294117)","(4.6, 5.9, 5.823333333333333)","(2.45, 3.0, 2.9790776699029125)","(8.5, 9.6, 9.45185185185185)"
11-01-2023 15:37:29.951941,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 280.0, 215.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.8, 4.676595744680851)","(4.6, 5.9, 5.81044776119403)","(2.45, 3.0, 2.9790776699029125)","(8.5, 9.6, 9.45185185185185)"
11-01-2023 15:37:31.182216,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.5, 19.0)","(21.0, 36.0, 34.0)","(101.0, 280.0, 215.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.679411764705883)","(4.6, 5.9, 5.811428571428571)","(2.45, 3.0, 2.9790776699029125)","(8.5, 9.6, 9.442105263157893)"
11-01-2023 15:37:32.446154,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.0, 18.94736842105263)","(21.0, 36.0, 34.0)","(101.0, 280.0, 168.57142857142858)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.603448275862069)","(4.6, 6.0, 5.811428571428571)","(2.45, 3.0, 2.9811790393013102)","(8.5, 9.6, 9.534426229508195)"
11-01-2023 15:37:33.698817,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.0, 18.94736842105263)","(21.0, 36.0, 34.0)","(101.0, 280.0, 190.0)","(9.0, 14.0, 13.166666666666666)","(4.4, 4.7, 4.603448275862069)","(4.6, 6.0, 5.811428571428571)","(2.45, 3.0, 2.9811790393013102)","(8.5, 9.6, 9.534426229508195)"
11-01-2023 15:37:34.911397,"(71.0, 190.0, 147.14285714285714)","(15.0, 19.0, 18.94736842105263)","(21.0, 36.0, 34.0)","(101.0, 270.0, 225.71428571428572)","(9.0, 14.0, 13.985294117647058)","(4.4, 4.7, 4.558252427184466)","(4.6, 6.0, 5.811428571428571)","(2.45, 3.0, 2.9790776699029125)","(8.5, 9.6, 9.4875)"
11-01-2023 15:37:36.100416,"(71.0, 190.0, 168.1818181818182)","(15.0, 19.0, 18.94736842105263)","(21.0, 36.0, 34.0)","(101.0, 260.0, 225.71428571428572)","(9.0, 14.0, 13.985714285714286)","(4.4, 4.6, 4.514953271028038)","(4.6, 6.0, 5.811428571428571)","(2.45, 3.0, 2.9790776699029125)","(8.5, 9.6, 9.470588235294118)"
11-01-2023 15:37:37.353758,"(71.0, 190.0, 175.0)","(15.0, 19.0, 18.94736842105263)","(21.0, 36.0, 34.0)","(101.0, 260.0, 225.71428571428572)","(9.0, 14.0, 13.984848484848484)","(4.4, 4.6, 4.5130081300813005)","(4.6, 6.0, 5.811428571428571)","(2.45, 3.0, 2.9790776699029125)","(8.5, 9.6, 9.459154929577464)"
11-01-2023 15:37:38.570367,"(71.0, 190.0, 175.0)","(15.0, 19.0, 18.94736842105263)","(21.0, 36.0, 34.0)","(101.0, 260.0, 225.71428571428572)","(9.0, 14.0, 13.984848484848484)","(4.4, 4.6, 4.512213740458015)","(4.6, 6.0, 5.811428571428571)","(2.45, 3.0, 2.9790776699029125)","(8.5, 9.6, 9.459154929577464)"
11-01-2023 15:37:39.742706,"(71.0, 190.0, 175.0)","(15.0, 19.0, 18.94736842105263)","(21.0, 36.0, 34.0)","(101.0, 260.0, 260.0)","(9.0, 14.0, 13.984848484848484)","(4.4, 4.6, 4.5183908045977015)","(4.6, 6.0, 5.811428571428571)","(2.45, 3.0, 2.9790776699029125)","(8.5, 9.6, 9.459154929577464)"
11-01-2023 15:37:40.938480,"(71.0, 190.0, 175.0)","(15.0, 19.0, 18.94736842105263)","(21.0, 36.0, 34.0)","(101.0, 280.0, 260.0)","(9.0, 14.0, 13.984848484848484)","(4.4, 4.6, 4.5633333333333335)","(4.6, 6.0, 5.811428571428571)","(2.45, 3.0, 2.9790776699029125)","(8.5, 9.6, 9.459154929577464)"
11-01-2023 15:37:42.204727,"(71.0, 190.0, 175.0)","(15.0, 19.0, 18.928571428571427)","(21.0, 36.0, 34.0)","(101.0, 280.0, 248.57142857142856)","(9.0, 14.0, 14.571428571428571)","(4.4, 4.6, 4.564625850340136)","(4.6, 6.0, 5.811428571428571)","(2.5, 3.0, 2.9790776699029125)","(8.5, 9.6, 9.459154929577464)"
11-01-2023 15:37:43.477875,"(71.0, 190.0, 176.66666666666666)","(15.0, 19.0, 18.928571428571427)","(21.0, 36.0, 34.0)","(101.0, 300.0, 248.57142857142856)","(9.0, 15.5, 14.705882352941176)","(4.4, 4.6, 4.564625850340136)","(4.6, 6.0, 5.811428571428571)","(2.5, 3.0, 2.9777027027027025)","(8.5, 9.6, 9.459154929577464)"
11-01-2023 15:37:44.676257,"(71.0, 190.0, 176.66666666666666)","(15.0, 19.0, 18.928571428571427)","(21.0, 36.0, 34.0)","(101.0, 300.0, 248.57142857142856)","(9.0, 15.5, 14.711538461538462)","(4.4, 4.6, 4.568345323741007)","(4.6, 6.0, 5.811428571428571)","(2.5, 2.98, 2.9777027027027025)","(8.5, 9.6, 9.459154929577464)"
11-01-2023 15:37:45.857965,"(71.0, 190.0, 176.66666666666666)","(15.0, 19.0, 18.928571428571427)","(21.0, 36.0, 33.666666666666664)","(101.0, 300.0, 248.57142857142856)","(9.0, 15.0, 14.224137931034482)","(4.4, 4.6, 4.574999999999999)","(4.6, 6.0, 5.811428571428571)","(2.5, 2.98, 2.9796009975062345)","(8.5, 9.6, 9.459154929577464)"
11-01-2023 15:37:47.115126,"(71.0, 190.0, 176.66666666666666)","(15.0, 19.0, 18.928571428571427)","(21.0, 36.0, 33.666666666666664)","(101.0, 300.0, 248.57142857142856)","(9.0, 14.5, 14.224137931034482)","(4.4, 4.6, 4.6298076923076925)","(4.6, 6.0, 5.860810810810811)","(2.5, 2.98, 2.9796009975062345)","(8.5, 9.6, 9.406741573033708)"
11-01-2023 15:37:48.333230,"(71.0, 190.0, 176.66666666666666)","(15.0, 19.0, 18.928571428571427)","(21.0, 36.0, 34.0)","(101.0, 300.0, 253.33333333333331)","(9.0, 14.5, 14.224137931034482)","(4.4, 4.7, 4.648888888888889)","(4.6, 5.9, 5.853548387096774)","(2.5, 2.98, 2.9796009975062345)","(8.5, 9.6, 9.4752)"
