,Mystical Charm,Magic Nitro,Bahamas Miss,Feel Your Way,Montana One,Atomic Pete,Financially Stable,Just Call Me Harry,Batman Jujon
11-01-2023 21:07:31.989877,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:33.161731,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:34.349096,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:35.523083,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:36.660632,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:37.880709,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:39.057884,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:40.212895,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.733333333333333)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:41.630479,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 5.6, 4.75)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.686)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:42.763127,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 7.0, 4.75)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.79, 1.6454054054054053)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:43.936382,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 6.8, 5.425)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.74, 1.67)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:45.338073,"(8.0, 11.5, 10.6)","(14.0, 28.0, 23.5)","(3.8, 6.6, 5.275)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.73, 1.6466666666666665)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:46.590531,"(8.0, 11.5, 10.6)","(14.0, 28.0, 24.142857142857142)","(3.8, 6.4, 5.75)","(15.0, 23.0, 20.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.65, 1.617777777777778)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:47.811388,"(8.0, 12.0, 11.2)","(14.0, 28.0, 24.142857142857142)","(3.8, 6.2, 5.75)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.62, 1.6355555555555554)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:49.012426,"(8.0, 12.0, 11.2)","(14.0, 28.0, 22.8)","(3.8, 6.2, 5.75)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.64, 1.6087500000000001)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:50.184666,"(8.0, 12.0, 11.2)","(14.0, 28.0, 23.833333333333336)","(3.8, 6.2, 5.75)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.61, 1.6087500000000001)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:51.353262,"(8.0, 12.0, 11.2)","(14.0, 28.0, 23.2)","(3.8, 6.2, 5.75)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.61, 1.6087500000000001)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:52.553826,"(8.0, 12.0, 11.2)","(14.0, 28.0, 23.2)","(3.8, 6.2, 5.75)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.61, 1.6087500000000001)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:53.823016,"(8.0, 12.0, 11.2)","(14.0, 28.0, 24.166666666666668)","(3.8, 6.2, 5.75)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.61, 1.6083333333333334)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:55.042624,"(8.0, 12.0, 11.2)","(14.0, 28.0, 24.166666666666668)","(3.8, 6.2, 5.7)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.61, 1.6333333333333333)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:56.278531,"(8.0, 12.0, 11.2)","(14.0, 28.0, 24.166666666666668)","(3.8, 6.2, 5.7)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.64, 1.7079310344827585)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:57.596402,"(8.0, 12.0, 10.933333333333334)","(14.0, 28.0, 24.166666666666668)","(3.8, 6.2, 5.666666666666667)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 147.14285714285714)","(1.45, 1.71, 1.7079310344827585)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:07:58.850741,"(8.0, 12.0, 10.933333333333334)","(14.0, 28.0, 24.166666666666668)","(3.8, 6.0, 5.3)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 152.5)","(1.45, 1.71, 1.7079310344827585)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:08:00.162071,"(8.0, 12.0, 10.933333333333334)","(14.0, 28.0, 24.166666666666668)","(3.8, 6.0, 5.3)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 152.5)","(1.45, 1.71, 1.7079310344827585)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:08:01.473846,"(8.0, 12.0, 10.933333333333334)","(14.0, 28.0, 24.166666666666668)","(3.8, 6.0, 5.3)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 152.5)","(1.45, 1.71, 1.7079310344827585)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:08:02.712533,"(8.0, 12.0, 10.933333333333334)","(14.0, 28.0, 24.166666666666668)","(3.8, 6.0, 5.3)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 152.5)","(1.45, 1.71, 1.7079310344827585)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:08:03.917514,"(8.0, 12.0, 10.933333333333334)","(14.0, 28.0, 24.166666666666668)","(3.8, 6.0, 5.3)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.71, 1.7079310344827585)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:08:05.105981,"(8.0, 12.0, 10.933333333333334)","(14.0, 28.0, 24.166666666666668)","(3.8, 6.0, 5.3)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 140.0)","(1.45, 1.71, 1.7079310344827585)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
11-01-2023 21:08:06.315940,"(8.0, 12.0, 10.933333333333334)","(14.0, 28.0, 24.166666666666668)","(3.8, 6.0, 5.3)","(15.0, 23.0, 18.666666666666668)","(91.0, 120.0, 97.5)","(71.0, 170.0, 138.57142857142856)","(1.45, 1.71, 1.7079310344827585)","(41.0, 140.0, 100.0)","(31.0, 50.0, 44.666666666666664)"
