,Noble Present,Sudden Flare,Treat Me Special,Nannys Mission,Red Lil Shipment,Princess Mia Rose,Blue Bonnie,Great Devotion,Our Golden Colleen,License To Carry
05-01-2023 13:57:02.504528,"(15.0, 17.5, 16.5)","(31.0, 60.0, 56.8)","(2.4, 4.2, 4.075)","(31.0, 55.0, 50.4)","(31.0, 42.0, 33.0)","(13.0, 60.0, 42.0)","(10.0, 32.0, 25.5)","(2.6, 3.3, 3.492857142857143)","(5.0, 7.4, 7.0)","(19.0, 25.0, 20.0)"
05-01-2023 13:57:03.746169,"(15.0, 17.5, 16.5)","(31.0, 60.0, 53.0)","(2.4, 4.2, 4.075)","(31.0, 55.0, 48.0)","(31.0, 42.0, 33.0)","(13.0, 60.0, 37.5)","(10.0, 32.0, 25.5)","(2.6, 3.65, 3.375)","(5.0, 7.4, 7.0)","(19.0, 25.0, 20.0)"
05-01-2023 13:57:05.163897,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 4.2, 3.94)","(31.0, 55.0, 48.0)","(31.0, 42.0, 33.0)","(13.0, 60.0, 37.5)","(10.0, 32.0, 25.5)","(2.6, 3.6, 3.375)","(5.0, 7.4, 7.0)","(19.0, 25.0, 20.0)"
05-01-2023 13:57:06.647681,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 4.0, 3.94)","(31.0, 55.0, 48.0)","(31.0, 42.0, 33.0)","(13.0, 60.0, 37.5)","(10.0, 32.0, 25.5)","(2.6, 3.6, 3.375)","(5.0, 7.4, 7.0)","(19.0, 25.0, 20.0)"
05-01-2023 13:57:08.110219,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 4.0, 3.86875)","(31.0, 55.0, 48.0)","(31.0, 42.0, 33.0)","(13.0, 60.0, 37.5)","(10.0, 32.0, 25.5)","(2.6, 3.6, 3.185483870967742)","(5.0, 7.4, 7.0)","(19.0, 25.0, 20.0)"
05-01-2023 13:57:09.392758,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 4.0, 3.9416666666666664)","(31.0, 55.0, 48.0)","(31.0, 42.0, 33.0)","(13.0, 60.0, 37.75)","(10.0, 32.0, 25.5)","(2.6, 3.7, 3.3166666666666664)","(5.0, 7.4, 7.0)","(19.0, 25.0, 20.0)"
05-01-2023 13:57:10.711306,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 4.0, 3.9416666666666664)","(31.0, 55.0, 48.0)","(31.0, 42.0, 35.57142857142857)","(13.0, 60.0, 37.75)","(10.0, 32.0, 25.5)","(2.6, 3.65, 3.3166666666666664)","(5.0, 7.4, 7.0)","(19.0, 25.0, 21.25)"
05-01-2023 13:57:11.989913,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 4.0, 3.9416666666666664)","(31.0, 55.0, 48.0)","(31.0, 42.0, 35.57142857142857)","(13.0, 60.0, 42.0)","(10.0, 32.0, 25.5)","(2.6, 3.65, 3.2066666666666666)","(5.0, 7.4, 7.0)","(19.0, 25.0, 21.25)"
05-01-2023 13:57:13.369116,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 4.0, 3.9416666666666664)","(31.0, 55.0, 48.0)","(31.0, 42.0, 35.57142857142857)","(13.0, 60.0, 42.0)","(10.0, 32.0, 25.5)","(2.6, 3.3, 3.2103448275862068)","(5.0, 7.4, 7.0)","(19.0, 25.0, 21.25)"
05-01-2023 13:57:14.704794,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 4.0, 3.9416666666666664)","(31.0, 55.0, 48.0)","(31.0, 42.0, 35.57142857142857)","(13.0, 60.0, 42.0)","(10.0, 32.0, 25.5)","(2.6, 3.3, 3.2103448275862068)","(5.0, 7.4, 7.15)","(19.0, 25.0, 21.25)"
05-01-2023 13:57:16.101479,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 4.0, 3.7624999999999997)","(31.0, 55.0, 48.0)","(31.0, 42.0, 35.57142857142857)","(13.0, 60.0, 42.0)","(10.0, 32.0, 25.5)","(2.6, 3.3, 3.2103448275862068)","(5.0, 7.4, 7.15)","(19.0, 25.0, 21.25)"
05-01-2023 13:57:17.356637,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 3.8, 3.7624999999999997)","(31.0, 55.0, 48.0)","(31.0, 42.0, 35.57142857142857)","(13.0, 60.0, 42.0)","(10.0, 32.0, 25.5)","(2.6, 3.3, 3.2103448275862068)","(5.0, 7.4, 7.15)","(19.0, 25.0, 21.25)"
05-01-2023 13:57:18.574697,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 3.8, 3.7249999999999996)","(31.0, 55.0, 48.0)","(31.0, 42.0, 35.57142857142857)","(13.0, 60.0, 37.5)","(10.0, 32.0, 25.5)","(2.6, 3.3, 3.35)","(5.0, 7.4, 7.3090909090909095)","(19.0, 25.0, 21.25)"
05-01-2023 13:57:19.853753,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 3.8, 3.7624999999999997)","(31.0, 55.0, 48.0)","(31.0, 42.0, 35.57142857142857)","(13.0, 60.0, 42.0)","(10.0, 32.0, 25.5)","(2.6, 3.6, 3.31)","(5.0, 7.4, 7.3090909090909095)","(19.0, 25.0, 21.25)"
05-01-2023 13:57:21.238319,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 3.8, 3.7624999999999997)","(31.0, 55.0, 48.0)","(31.0, 42.0, 35.57142857142857)","(13.0, 60.0, 42.0)","(10.0, 32.0, 25.5)","(2.6, 3.55, 3.2666666666666666)","(5.0, 7.4, 7.3090909090909095)","(19.0, 25.0, 21.25)"
05-01-2023 13:57:22.523535,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 3.8, 3.7624999999999997)","(31.0, 55.0, 48.0)","(31.0, 42.0, 35.57142857142857)","(13.0, 60.0, 42.0)","(10.0, 32.0, 25.5)","(2.6, 3.5, 3.2666666666666666)","(5.0, 7.4, 7.3090909090909095)","(19.0, 25.0, 21.25)"
05-01-2023 13:57:23.876508,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 3.8, 3.7624999999999997)","(31.0, 55.0, 48.0)","(31.0, 42.0, 35.57142857142857)","(13.0, 60.0, 42.0)","(10.0, 32.0, 25.5)","(2.6, 3.5, 3.2666666666666666)","(5.0, 7.4, 7.3090909090909095)","(19.0, 25.0, 21.25)"
05-01-2023 13:57:25.208802,"(15.0, 17.5, 16.3)","(31.0, 60.0, 53.0)","(2.4, 3.8, 3.7624999999999997)","(31.0, 55.0, 48.0)","(31.0, 42.0, 35.57142857142857)","(13.0, 60.0, 42.0)","(10.0, 32.0, 25.5)","(2.6, 3.5, 3.2666666666666666)","(5.0, 7.4, 7.3090909090909095)","(19.0, 25.0, 21.25)"
