,Meatloaf,Phantom Ace,Palesa Bale,Nighthawk Angel,Goldstar Darwin,Tea Time Tiger,Captain Tim,Goldstar Hope
09-01-2023 09:02:54.076070,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:55.036254,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:56.027369,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:57.000430,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:57.993472,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:58.971496,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:02:59.924136,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:03:00.912145,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:03:01.934198,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:03:02.955515,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:03:03.987753,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:03:05.035940,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:03:06.041874,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:03:07.068355,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:03:08.051323,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:03:09.113607,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 18.383333333333333)"
09-01-2023 09:03:10.125638,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
09-01-2023 09:03:11.202250,"(7.0, 28.0, 25.02777777777778)","(3.0, 4.8, 4.510666666666666)","(4.8, 17.5, 9.25)","(4.6, 14.0, 9.911904761904761)","(7.5, 27.0, 21.75)","(10.0, 55.0, 49.93333333333333)","(31.0, 340.0, 117.85714285714286)","(5.5, 21.0, 17.40909090909091)"
