,Reggies Brother,Speed Badke,Calder,Muttons Mates,Desleys Girl,White Snake,Moment Of Glory,Aces Up
07-01-2023 19:17:51.232278,"(4.0, 5.6, 5.059090909090909)","(2.9, 3.85, 3.046923076923077)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 29.333333333333336)","(5.5, 10.5, 10.275)","(6.0, 18.5, 14.5)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:52.606782,"(4.0, 5.6, 5.059090909090909)","(2.9, 3.85, 3.046923076923077)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 29.333333333333336)","(5.5, 10.5, 10.275)","(6.0, 18.5, 14.5)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:53.965396,"(4.0, 5.6, 5.059090909090909)","(2.9, 3.85, 3.046923076923077)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 29.333333333333336)","(5.5, 10.5, 10.275)","(6.0, 18.5, 14.5)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:55.284350,"(4.0, 5.6, 5.059090909090909)","(2.9, 3.85, 3.046923076923077)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 29.333333333333336)","(5.5, 10.5, 10.275)","(6.0, 18.5, 14.5)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:56.568578,"(4.0, 5.6, 5.059090909090909)","(2.9, 3.85, 3.046923076923077)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 29.333333333333336)","(5.5, 10.5, 10.275)","(6.0, 18.5, 14.5)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:57.863362,"(4.0, 5.6, 5.059090909090909)","(2.9, 3.85, 3.046923076923077)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 29.333333333333336)","(5.5, 10.5, 10.275)","(6.0, 18.5, 14.5)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:17:59.214229,"(4.0, 5.6, 5.059090909090909)","(2.9, 3.85, 3.046923076923077)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 29.333333333333336)","(5.5, 10.5, 10.275)","(6.0, 18.5, 14.5)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:18:00.574515,"(4.0, 5.6, 5.059090909090909)","(2.9, 3.85, 3.046923076923077)","(6.0, 9.8, 7.800000000000001)","(18.0, 50.0, 29.333333333333336)","(5.5, 10.5, 10.275)","(6.0, 18.5, 14.5)","(19.0, 55.0, 22.555555555555557)","(10.0, 18.5, 13.166666666666666)"
07-01-2023 19:18:01.919748,"(4.0, 5.6, 5.4)","(2.9, 3.85, 3.3899999999999997)","(6.0, 9.8, 8.53846153846154)","(18.0, 50.0, 44.375)","(5.5, 10.5, 9.5625)","(6.0, 18.5, 14.5)","(19.0, 55.0, 43.5)","(10.0, 18.5, 14.25)"
07-01-2023 19:18:03.320739,"(4.0, 5.5, 5.4)","(2.9, 3.8, 3.3899999999999997)","(6.0, 9.8, 8.53846153846154)","(18.0, 48.0, 44.375)","(5.5, 10.5, 9.5625)","(6.0, 18.5, 14.5)","(19.0, 50.0, 42.888888888888886)","(10.0, 18.0, 14.25)"
