,Zouologist,Sizzleonthebridge,Participator,Smugglers Run,Brothers Of Antrim,Pindarras Dream,Saiko,Merc,Gironde,Zarsnip
05-01-2023 16:19:53.264252,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.233333333333334)","(13.0, 15.5, 14.583333333333334)","(18.0, 65.0, 59.44444444444444)","(3.7, 4.4, 4.390000000000001)","(18.0, 26.0, 21.454545454545453)","(21.0, 48.0, 33.333333333333336)","(31.0, 130.0, 110.0)"
05-01-2023 16:19:54.499484,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.233333333333334)","(13.0, 15.5, 14.5)","(18.0, 65.0, 59.44444444444444)","(3.7, 4.4, 4.390000000000001)","(18.0, 26.0, 22.666666666666668)","(21.0, 48.0, 33.333333333333336)","(31.0, 130.0, 110.0)"
05-01-2023 16:19:55.782388,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.233333333333334)","(13.0, 15.0, 14.5)","(18.0, 65.0, 57.5)","(3.7, 4.4, 4.390000000000001)","(18.0, 26.0, 22.666666666666668)","(21.0, 48.0, 33.333333333333336)","(31.0, 130.0, 88.18181818181819)"
05-01-2023 16:19:57.095208,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.233333333333334)","(13.0, 15.0, 14.5)","(18.0, 65.0, 57.5)","(3.7, 4.4, 4.390000000000001)","(18.0, 26.0, 22.666666666666668)","(21.0, 48.0, 33.333333333333336)","(31.0, 120.0, 88.18181818181819)"
05-01-2023 16:19:58.480783,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.33)","(8.5, 19.5, 18.233333333333334)","(13.0, 15.0, 14.5)","(18.0, 65.0, 57.5)","(3.7, 4.4, 4.390000000000001)","(18.0, 26.0, 22.666666666666668)","(21.0, 48.0, 33.333333333333336)","(31.0, 120.0, 88.18181818181819)"
05-01-2023 16:19:59.882758,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.33)","(8.5, 19.5, 18.233333333333334)","(13.0, 15.0, 14.5)","(18.0, 65.0, 57.5)","(3.7, 4.4, 4.390000000000001)","(18.0, 26.0, 23.19298245614035)","(21.0, 48.0, 33.333333333333336)","(31.0, 120.0, 88.18181818181819)"
05-01-2023 16:20:01.274993,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.33)","(8.5, 19.5, 18.233333333333334)","(13.0, 15.0, 14.37037037037037)","(18.0, 65.0, 57.5)","(3.7, 4.4, 4.390000000000001)","(18.0, 26.0, 23.19298245614035)","(21.0, 48.0, 33.333333333333336)","(31.0, 120.0, 95.0)"
05-01-2023 16:20:02.696038,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.233333333333334)","(13.0, 15.0, 14.37037037037037)","(18.0, 65.0, 57.5)","(3.7, 4.4, 4.390000000000001)","(18.0, 26.0, 23.5)","(21.0, 48.0, 33.333333333333336)","(31.0, 110.0, 95.0)"
05-01-2023 16:20:04.069992,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.233333333333334)","(13.0, 15.0, 14.227272727272727)","(18.0, 65.0, 58.18181818181819)","(3.7, 4.4, 4.391666666666667)","(18.0, 26.0, 23.5)","(21.0, 48.0, 44.85714285714286)","(31.0, 110.0, 73.33333333333333)"
05-01-2023 16:20:05.584830,"(6.5, 9.8, 9.622222222222224)","(41.0, 75.0, 70.9090909090909)","(2.2, 2.38, 2.3466666666666667)","(8.5, 19.5, 18.233333333333334)","(13.0, 15.0, 14.227272727272727)","(18.0, 65.0, 58.18181818181819)","(3.7, 4.4, 4.391666666666667)","(18.0, 26.0, 23.5)","(21.0, 48.0, 44.85714285714286)","(31.0, 110.0, 73.33333333333333)"
