,Caribbean Baby,Heavens Baby,Kerrie Be,Singer Snap,Holme Boy,Yarraman Needy,Snack Time Rocks,Boom Boom Boy
11-01-2023 21:36:23.579753,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:24.597629,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:25.612961,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:26.668274,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:27.774363,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:28.841902,"(41.0, 110.0, 89.42857142857143)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:29.917857,"(41.0, 110.0, 63.33333333333333)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 69.5)"
11-01-2023 21:36:31.031156,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 95.0, 55.5)"
11-01-2023 21:36:32.109011,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
11-01-2023 21:36:33.208350,"(41.0, 110.0, 88.66666666666666)","(13.0, 14.5, 13.1)","(1.4, 1.77, 1.73)","(91.0, 170.0, 145.71428571428572)","(3.6, 5.1, 4.22)","(21.0, 44.0, 36.0)","(7.5, 14.0, 12.25)","(41.0, 90.0, 55.5)"
