,Prince Pulpogan,Grants Treasure,Lady Wendy Hook,Rawhide Hand,Red Spur Flyer,Jebrynah Sol,Stay At Home,Rogue Temptation
05-01-2023 15:15:06.248090,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:07.375553,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:08.382456,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:09.484142,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:10.637283,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:11.840494,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:13.076987,"(2.5, 5.0, 3.9299999999999997)","(14.0, 26.0, 19.541666666666668)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:14.276479,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:15.379271,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
05-01-2023 15:15:16.490452,"(2.5, 5.0, 3.9299999999999997)","(14.0, 25.0, 21.77777777777778)","(8.5, 16.5, 11.1)","(9.0, 23.0, 15.9)","(3.2, 3.4, 3.025)","(9.0, 18.0, 11.866666666666667)","(16.0, 60.0, 41.666666666666664)","(8.0, 23.0, 17.307692307692307)"
