,Dr Earnie,Little Amelia,Bombers Reward,Slingshot Queen,Dr Audrey,Dr Boone,Dr Cinny,Good Chat Sam
07-12-2022 18:39:04.766096,"(17.0, 24.0, 22.3125)","(4.2, 9.2, 8.71111111111111)","(21.0, 25.0, 22.983606557377048)","(2.0, 3.0, 2.92)","(21.0, 36.0, 33.666666666666664)","(2.5, 2.46, 2.4486486486486485)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:39:05.791668,"(17.0, 24.0, 21.86842105263158)","(4.2, 9.2, 8.71111111111111)","(21.0, 25.0, 22.95)","(2.0, 3.0, 2.92)","(21.0, 36.0, 34.35294117647059)","(2.5, 2.46, 2.45)","(41.0, 65.0, 52.90909090909091)","(101.0, 610.0, 562.2222222222222)"
07-12-2022 18:39:06.914953,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.571428571428571)","(21.0, 23.0, 22.375)","(2.0, 3.0, 2.9076923076923076)","(21.0, 36.0, 33.45454545454545)","(2.5, 2.46, 2.4495)","(41.0, 65.0, 50.22222222222222)","(101.0, 610.0, 548.5714285714286)"
07-12-2022 18:39:07.905580,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.541176470588235)","(21.0, 23.0, 22.375)","(2.0, 2.98, 2.94)","(21.0, 36.0, 33.45454545454545)","(2.5, 2.46, 2.4495)","(41.0, 65.0, 50.75)","(101.0, 610.0, 548.5714285714286)"
07-12-2022 18:39:08.930343,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.541176470588235)","(21.0, 23.0, 22.375)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.13333333333333)","(2.5, 2.46, 2.4495)","(41.0, 65.0, 51.27272727272727)","(101.0, 610.0, 548.5714285714286)"
07-12-2022 18:39:09.951612,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.541176470588235)","(21.0, 23.0, 22.375)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.13333333333333)","(2.5, 2.46, 2.4495)","(41.0, 60.0, 51.27272727272727)","(101.0, 610.0, 548.5714285714286)"
07-12-2022 18:39:10.961011,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.541176470588235)","(21.0, 23.0, 22.375)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.13333333333333)","(2.5, 2.46, 2.4495)","(41.0, 60.0, 50.57142857142857)","(101.0, 610.0, 538.3333333333334)"
07-12-2022 18:39:12.023188,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.541176470588235)","(21.0, 23.0, 22.375)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.13333333333333)","(2.5, 2.46, 2.4495)","(41.0, 60.0, 50.57142857142857)","(101.0, 610.0, 538.3333333333334)"
07-12-2022 18:39:13.101616,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.541176470588235)","(21.0, 23.0, 22.375)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.13333333333333)","(2.5, 2.46, 2.4495)","(41.0, 60.0, 50.57142857142857)","(101.0, 610.0, 538.3333333333334)"
07-12-2022 18:39:14.125742,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.541176470588235)","(21.0, 23.0, 22.375)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.13333333333333)","(2.5, 2.46, 2.4495)","(41.0, 60.0, 50.57142857142857)","(101.0, 610.0, 538.3333333333334)"
07-12-2022 18:39:15.218063,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.475)","(21.0, 23.0, 22.321428571428573)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.13333333333333)","(2.5, 2.46, 2.4495)","(41.0, 60.0, 50.57142857142857)","(101.0, 610.0, 548.5714285714286)"
07-12-2022 18:39:16.228023,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.475)","(21.0, 23.0, 22.321428571428573)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.13333333333333)","(2.5, 2.46, 2.4495)","(41.0, 60.0, 50.57142857142857)","(101.0, 610.0, 548.5714285714286)"
07-12-2022 18:39:17.268078,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 33.45454545454545)","(2.5, 2.48, 2.435)","(41.0, 60.0, 50.375)","(101.0, 710.0, 577.5)"
07-12-2022 18:39:18.380946,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 33.45454545454545)","(2.5, 2.48, 2.4636363636363634)","(41.0, 60.0, 50.375)","(101.0, 710.0, 577.5)"
07-12-2022 18:39:19.431650,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 33.45454545454545)","(2.5, 2.48, 2.4636363636363634)","(41.0, 60.0, 50.375)","(101.0, 710.0, 577.5)"
07-12-2022 18:39:20.465193,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 33.45454545454545)","(2.5, 2.48, 2.476086956521739)","(41.0, 60.0, 50.375)","(101.0, 710.0, 577.5)"
07-12-2022 18:39:21.474302,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 33.45454545454545)","(2.5, 2.48, 2.476086956521739)","(41.0, 60.0, 50.375)","(101.0, 710.0, 577.5)"
07-12-2022 18:39:22.448505,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.13333333333333)","(2.5, 2.48, 2.476086956521739)","(41.0, 60.0, 50.375)","(101.0, 710.0, 577.5)"
07-12-2022 18:39:23.566652,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.46153846153846)","(2.5, 2.48, 2.4728)","(41.0, 60.0, 50.375)","(101.0, 710.0, 577.5)"
07-12-2022 18:39:24.654995,"(17.0, 24.0, 21.61764705882353)","(4.2, 9.2, 8.446153846153846)","(21.0, 23.0, 22.209302325581394)","(2.0, 2.98, 2.94)","(21.0, 36.0, 34.46153846153846)","(2.5, 2.48, 2.4728)","(41.0, 60.0, 50.375)","(101.0, 710.0, 577.5)"
