,African Angel,I Came To Dance,Organized Chaos,Well See,Peach Be With Q,Queen Wiggy,Sharp Catch
15-12-2022 11:12:04.589593,"(2.8, 5.9, 4.75)","(5.5, 4.6, 4.3)","(5.0, 12.5, 8.7)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.8)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 17.75)"
15-12-2022 11:12:05.585209,"(2.8, 5.9, 4.75)","(5.5, 4.6, 4.15)","(5.0, 12.0, 8.1)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.8)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 17.75)"
15-12-2022 11:12:06.587553,"(2.8, 5.9, 4.75)","(5.5, 4.6, 4.15)","(5.0, 12.0, 10.05)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.0)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 17.25)"
15-12-2022 11:12:07.596084,"(2.8, 5.8, 5.25)","(5.5, 4.6, 4.15)","(5.0, 12.0, 10.333333333333334)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.0)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 17.25)"
15-12-2022 11:12:08.634145,"(2.8, 5.8, 5.25)","(5.5, 4.6, 4.15)","(5.0, 12.0, 10.333333333333334)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.0)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 17.25)"
15-12-2022 11:12:09.704196,"(2.8, 5.8, 5.25)","(5.5, 4.6, 4.15)","(5.0, 12.0, 10.333333333333334)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.0)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 16.714285714285715)"
15-12-2022 11:12:10.732359,"(2.8, 5.8, 5.25)","(5.5, 4.6, 4.15)","(5.0, 12.0, 10.928571428571429)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.0)","(5.5, 12.0, 10.666666666666666)","(10.0, 25.0, 16.714285714285715)"
15-12-2022 11:12:11.718499,"(2.8, 5.8, 5.25)","(5.5, 4.6, 4.15)","(5.0, 12.0, 10.928571428571429)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.0)","(5.5, 12.0, 10.666666666666666)","(10.0, 25.0, 18.6)"
15-12-2022 11:12:12.697646,"(2.8, 5.8, 5.25)","(5.5, 4.6, 4.15)","(5.0, 12.0, 10.928571428571429)","(8.0, 16.5, 14.725)","(9.0, 14.0, 12.0)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 18.6)"
15-12-2022 11:12:13.675971,"(2.8, 5.9, 4.75)","(5.5, 4.6, 4.15)","(5.0, 12.0, 10.333333333333334)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.0)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 18.6)"
15-12-2022 11:12:14.686593,"(2.8, 5.9, 4.75)","(5.5, 4.6, 4.15)","(5.0, 12.0, 10.333333333333334)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.0)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 18.6)"
15-12-2022 11:12:15.705229,"(2.8, 5.9, 4.75)","(5.5, 4.6, 4.15)","(5.0, 12.0, 10.333333333333334)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.0)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 18.6)"
15-12-2022 11:12:16.707456,"(2.8, 5.9, 4.75)","(5.5, 4.6, 4.15)","(5.0, 12.0, 10.333333333333334)","(8.0, 16.5, 13.866666666666667)","(9.0, 14.0, 12.0)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 18.6)"
15-12-2022 11:12:17.731769,"(2.8, 5.9, 4.75)","(5.5, 4.6, 4.15)","(5.0, 12.0, 10.333333333333334)","(8.0, 16.5, 13.42)","(9.0, 14.0, 12.0)","(5.5, 12.0, 10.666666666666666)","(10.0, 24.0, 18.6)"
