,Nimue,Magic Zimba,Woodside Gracie,Hayride Parker,Brodhurst,Saint Frawley
11-01-2023 11:09:52.523182,"(1.95, 2.24, 2.233861386138614)","(14.0, 19.5, 19.166666666666668)","(2.1, 2.4, 2.380392156862745)","(16.0, 21.0, 20.875)","(31.0, 90.0, 86.66666666666667)","(41.0, 65.0, 63.75)"
11-01-2023 11:09:53.491988,"(1.95, 2.24, 2.2260526315789475)","(14.0, 19.5, 19.166666666666668)","(2.1, 2.4, 2.3814814814814813)","(16.0, 21.0, 20.875)","(31.0, 90.0, 86.66666666666667)","(41.0, 65.0, 58.5)"
11-01-2023 11:09:54.495417,"(1.95, 2.24, 2.225940594059406)","(14.0, 19.5, 19.125)","(2.1, 2.38, 2.367962962962963)","(16.0, 21.0, 20.875)","(31.0, 90.0, 86.47058823529412)","(41.0, 65.0, 60.0)"
11-01-2023 11:09:55.429995,"(1.95, 2.24, 2.2212587412587417)","(14.0, 19.0, 18.88888888888889)","(2.1, 2.4, 2.373333333333333)","(16.0, 21.0, 20.875)","(31.0, 90.0, 86.47058823529412)","(41.0, 65.0, 56.25)"
11-01-2023 11:09:56.423988,"(1.95, 2.24, 2.221891891891892)","(14.0, 19.0, 18.884615384615383)","(2.1, 2.4, 2.39125)","(16.0, 22.0, 21.214285714285715)","(31.0, 90.0, 86.66666666666667)","(41.0, 65.0, 56.25)"
11-01-2023 11:09:57.354365,"(1.95, 2.24, 2.218897637795276)","(14.0, 18.5, 18.375)","(2.1, 2.42, 2.40463768115942)","(16.0, 22.0, 21.153846153846153)","(31.0, 90.0, 86.66666666666667)","(41.0, 65.0, 56.25)"
11-01-2023 11:09:58.338596,"(1.95, 2.22, 2.2157894736842105)","(14.0, 18.5, 18.375)","(2.1, 2.42, 2.40463768115942)","(16.0, 22.0, 21.14814814814815)","(31.0, 90.0, 86.66666666666667)","(41.0, 65.0, 56.25)"
11-01-2023 11:09:59.372149,"(1.95, 2.22, 2.202857142857143)","(14.0, 18.5, 18.375)","(2.1, 2.42, 2.407455621301775)","(16.0, 22.0, 21.14814814814815)","(31.0, 90.0, 82.5)","(41.0, 65.0, 55.714285714285715)"
11-01-2023 11:10:00.346092,"(1.95, 2.22, 2.2030434782608697)","(14.0, 18.5, 18.40909090909091)","(2.1, 2.4, 2.383970588235294)","(16.0, 22.0, 21.14814814814815)","(31.0, 85.0, 82.5)","(41.0, 60.0, 55.714285714285715)"
11-01-2023 11:10:01.333733,"(1.95, 2.24, 2.219047619047619)","(14.0, 19.0, 18.23076923076923)","(2.1, 2.38, 2.3714163090128753)","(16.0, 22.0, 21.11627906976744)","(31.0, 85.0, 83.75)","(41.0, 60.0, 54.21052631578947)"
11-01-2023 11:10:02.256129,"(1.95, 2.22, 2.2091329479768786)","(14.0, 18.5, 18.357142857142858)","(2.1, 2.4, 2.36979797979798)","(16.0, 22.0, 21.03030303030303)","(31.0, 85.0, 83.75)","(41.0, 60.0, 52.142857142857146)"
11-01-2023 11:10:03.182521,"(1.95, 2.22, 2.2124731182795703)","(14.0, 18.5, 18.40909090909091)","(2.1, 2.38, 2.3714516129032255)","(16.0, 22.0, 21.11111111111111)","(31.0, 85.0, 83.57142857142857)","(41.0, 60.0, 57.391304347826086)"
11-01-2023 11:10:04.074862,"(1.95, 2.22, 2.2109333333333336)","(14.0, 18.5, 18.4)","(2.1, 2.38, 2.375106382978723)","(16.0, 22.0, 21.11111111111111)","(31.0, 85.0, 84.13043478260869)","(41.0, 60.0, 57.083333333333336)"
11-01-2023 11:10:04.991213,"(1.95, 2.22, 2.211948051948052)","(14.0, 19.0, 18.583333333333332)","(2.1, 2.38, 2.372252252252252)","(16.0, 22.0, 21.135135135135137)","(31.0, 85.0, 84.2)","(41.0, 60.0, 57.083333333333336)"
11-01-2023 11:10:05.979960,"(1.95, 2.22, 2.21)","(14.0, 19.0, 18.444444444444443)","(2.1, 2.38, 2.3740206185567008)","(16.0, 22.0, 21.2)","(31.0, 85.0, 83.75)","(41.0, 60.0, 57.083333333333336)"
11-01-2023 11:10:06.888406,"(1.95, 2.22, 2.2148760330578514)","(14.0, 19.0, 18.38095238095238)","(2.1, 2.38, 2.3652307692307692)","(16.0, 22.0, 21.135135135135137)","(31.0, 85.0, 84.0)","(41.0, 60.0, 57.083333333333336)"
11-01-2023 11:10:07.857242,"(1.95, 2.22, 2.2184848484848487)","(14.0, 18.5, 18.357142857142858)","(2.1, 2.38, 2.360990099009901)","(16.0, 22.0, 20.72)","(31.0, 85.0, 84.375)","(41.0, 60.0, 52.5)"
11-01-2023 11:10:08.753705,"(1.95, 2.26, 2.2471794871794875)","(14.0, 18.5, 18.416666666666668)","(2.1, 2.36, 2.355)","(16.0, 21.0, 20.944444444444443)","(31.0, 95.0, 87.5)","(41.0, 60.0, 52.622950819672134)"
11-01-2023 11:10:09.649253,"(1.95, 2.26, 2.243529411764706)","(14.0, 18.5, 18.192307692307693)","(2.1, 2.36, 2.3535135135135135)","(16.0, 21.0, 20.9375)","(31.0, 95.0, 90.625)","(41.0, 60.0, 52.622950819672134)"
11-01-2023 11:10:10.536799,"(1.95, 2.26, 2.2426356589147285)","(14.0, 18.5, 18.227272727272727)","(2.1, 2.36, 2.3449999999999998)","(16.0, 22.0, 20.638297872340427)","(31.0, 95.0, 90.625)","(41.0, 60.0, 52.622950819672134)"
11-01-2023 11:10:11.462440,"(1.95, 2.26, 2.237984496124031)","(14.0, 18.5, 18.227272727272727)","(2.1, 2.36, 2.359111111111111)","(16.0, 22.0, 20.638297872340427)","(31.0, 95.0, 90.625)","(41.0, 60.0, 52.96875)"
11-01-2023 11:10:12.525911,"(1.95, 2.26, 2.240879120879121)","(14.0, 18.5, 18.208333333333332)","(2.1, 2.36, 2.358222222222222)","(16.0, 22.0, 20.638297872340427)","(31.0, 95.0, 89.44444444444444)","(41.0, 60.0, 51.53846153846154)"
11-01-2023 11:10:13.557100,"(1.95, 2.26, 2.2516666666666665)","(14.0, 18.5, 18.22222222222222)","(2.1, 2.36, 2.347076923076923)","(16.0, 22.0, 20.638297872340427)","(31.0, 95.0, 89.44444444444444)","(41.0, 60.0, 51.53846153846154)"
11-01-2023 11:10:14.556065,"(1.95, 2.26, 2.2536842105263157)","(14.0, 18.5, 18.22222222222222)","(2.1, 2.36, 2.3474193548387094)","(16.0, 21.0, 20.307692307692307)","(31.0, 95.0, 89.64285714285714)","(41.0, 60.0, 52.0)"
11-01-2023 11:10:15.544209,"(1.95, 2.28, 2.274838709677419)","(14.0, 18.5, 18.181818181818183)","(2.1, 2.34, 2.330408163265306)","(16.0, 21.0, 20.205882352941178)","(31.0, 95.0, 89.64285714285714)","(41.0, 60.0, 52.0)"
11-01-2023 11:10:16.494652,"(1.95, 2.28, 2.274838709677419)","(14.0, 18.5, 18.22222222222222)","(2.1, 2.34, 2.324713375796178)","(16.0, 21.0, 20.1)","(31.0, 95.0, 89.64285714285714)","(41.0, 60.0, 51.92982456140351)"
11-01-2023 11:10:17.439767,"(1.95, 2.28, 2.2790243902439022)","(14.0, 18.5, 18.25)","(2.1, 2.32, 2.3148214285714284)","(16.0, 21.0, 20.1)","(31.0, 95.0, 89.64285714285714)","(41.0, 60.0, 51.92982456140351)"
11-01-2023 11:10:18.338712,"(1.95, 2.3, 2.294090909090909)","(14.0, 18.5, 18.22222222222222)","(2.1, 2.32, 2.315)","(16.0, 21.0, 20.1)","(31.0, 95.0, 89.44444444444444)","(41.0, 60.0, 51.92982456140351)"
11-01-2023 11:10:19.307709,"(1.95, 2.3, 2.293584905660377)","(14.0, 18.5, 18.22222222222222)","(2.1, 2.32, 2.312307692307692)","(16.0, 21.0, 20.13157894736842)","(31.0, 95.0, 90.0)","(41.0, 60.0, 51.48148148148148)"
11-01-2023 11:10:20.248439,"(1.95, 2.3, 2.2693617021276595)","(14.0, 18.5, 18.285714285714285)","(2.1, 2.32, 2.316986301369863)","(16.0, 21.0, 20.333333333333332)","(31.0, 95.0, 90.0)","(41.0, 60.0, 51.48148148148148)"
11-01-2023 11:10:21.154693,"(1.95, 2.3, 2.270612244897959)","(14.0, 18.5, 18.05)","(2.1, 2.34, 2.317841726618705)","(16.0, 21.0, 20.333333333333332)","(31.0, 95.0, 90.0)","(41.0, 60.0, 51.92982456140351)"
11-01-2023 11:10:22.122604,"(1.95, 2.3, 2.274285714285714)","(14.0, 18.5, 18.05)","(2.1, 2.32, 2.318461538461538)","(15.0, 21.0, 20.444444444444443)","(31.0, 95.0, 89.8076923076923)","(41.0, 60.0, 51.92982456140351)"
11-01-2023 11:10:23.064794,"(1.95, 2.3, 2.2738181818181817)","(14.0, 18.5, 18.05)","(2.1, 2.32, 2.318260869565217)","(15.0, 21.0, 20.444444444444443)","(31.0, 95.0, 89.8076923076923)","(41.0, 60.0, 51.92982456140351)"
11-01-2023 11:10:24.014566,"(1.95, 2.3, 2.2905882352941176)","(14.0, 18.5, 18.05)","(2.1, 2.32, 2.298461538461538)","(15.0, 21.0, 20.583333333333332)","(31.0, 95.0, 90.0)","(41.0, 60.0, 52.06896551724138)"
11-01-2023 11:10:24.946458,"(1.95, 2.3, 2.2967741935483867)","(14.0, 18.5, 18.0609756097561)","(2.1, 2.3, 2.2833548387096774)","(15.0, 21.0, 20.155555555555555)","(31.0, 95.0, 89.13043478260869)","(41.0, 60.0, 52.10526315789474)"
11-01-2023 11:10:25.961962,"(1.95, 2.32, 2.303272727272727)","(14.0, 18.0, 17.975)","(2.1, 2.28, 2.273052631578947)","(15.0, 22.0, 20.458333333333332)","(31.0, 95.0, 89.13043478260869)","(41.0, 60.0, 51.964285714285715)"
11-01-2023 11:10:26.897643,"(1.95, 2.32, 2.3167676767676766)","(14.0, 18.5, 17.785714285714285)","(2.1, 2.3, 2.268395061728395)","(15.0, 22.0, 20.458333333333332)","(31.0, 95.0, 89.13043478260869)","(41.0, 60.0, 51.86440677966102)"
11-01-2023 11:10:27.835733,"(1.95, 2.34, 2.3370093457943923)","(14.0, 18.5, 17.75925925925926)","(2.1, 2.28, 2.272)","(15.0, 22.0, 20.458333333333332)","(31.0, 95.0, 89.13043478260869)","(41.0, 60.0, 51.86440677966102)"
11-01-2023 11:10:28.763655,"(1.95, 2.36, 2.324186046511628)","(14.0, 18.5, 17.75925925925926)","(2.1, 2.28, 2.265753424657534)","(15.0, 22.0, 20.458333333333332)","(31.0, 95.0, 89.54545454545455)","(41.0, 60.0, 52.0)"
11-01-2023 11:10:29.684280,"(1.95, 2.36, 2.347384615384615)","(14.0, 18.5, 17.76923076923077)","(2.1, 2.24, 2.2355932203389832)","(15.0, 22.0, 20.571428571428573)","(31.0, 95.0, 89.54545454545455)","(41.0, 60.0, 52.03389830508475)"
11-01-2023 11:10:30.575856,"(1.95, 2.36, 2.346206896551724)","(14.0, 18.5, 17.82075471698113)","(2.1, 2.28, 2.262631578947368)","(15.0, 22.0, 20.5)","(31.0, 95.0, 93.125)","(41.0, 60.0, 52.22222222222222)"
11-01-2023 11:10:31.602173,"(1.95, 2.36, 2.357283950617284)","(14.0, 18.5, 18.060606060606062)","(2.1, 2.24, 2.2294202898550726)","(15.0, 22.0, 20.327272727272728)","(31.0, 95.0, 93.125)","(41.0, 60.0, 52.11538461538461)"
11-01-2023 11:10:32.701661,"(1.95, 2.36, 2.356417910447761)","(14.0, 18.5, 18.108695652173914)","(2.1, 2.26, 2.224666666666667)","(15.0, 22.0, 20.263157894736842)","(31.0, 95.0, 91.25)","(41.0, 60.0, 52.11538461538461)"
11-01-2023 11:10:33.729149,"(1.95, 2.36, 2.356417910447761)","(14.0, 18.5, 18.108695652173914)","(2.05, 2.26, 9998.5)","(15.0, 22.0, 9998.5)","(31.0, 95.0, 9998.5)","(41.0, 60.0, 9998.5)"
11-01-2023 11:10:34.809394,"(1.95, 99998, 9998.5)","(14.0, 99998, 9998.5)","(2.05, 99998, 9998.5)","(15.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 11:10:35.731264,"(1.95, 99998, 9998.5)","(14.0, 99998, 9998.5)","(2.05, 99998, 9998.5)","(15.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 11:10:36.661341,"(1.95, 99998, 9998.5)","(14.0, 99998, 9998.5)","(2.05, 99998, 9998.5)","(15.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 11:10:37.604455,"(1.95, 99998, 9998.5)","(14.0, 99998, 9998.5)","(2.05, 99998, 9998.5)","(15.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 11:10:38.500150,"(1.95, 99998, 9998.5)","(14.0, 99998, 9998.5)","(2.05, 99998, 9998.5)","(15.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 11:10:39.456365,"(1.95, 99998, 9998.5)","(14.0, 99998, 9998.5)","(2.05, 99998, 9998.5)","(15.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 11:10:40.325106,"(1.95, 99998, 9998.5)","(14.0, 99998, 9998.5)","(2.05, 99998, 9998.5)","(15.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 11:10:41.172136,"(1.95, 99998, 9998.5)","(14.0, 99998, 9998.5)","(2.05, 99998, 9998.5)","(15.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 11:10:42.068687,"(1.95, 99998, 9998.5)","(14.0, 99998, 9998.5)","(2.05, 99998, 9998.5)","(15.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 11:10:43.055669,"(1.95, 99998, 9998.5)","(14.0, 99998, 9998.5)","(2.05, 99998, 9998.5)","(15.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 11:10:44.054785,"(1.95, 99998, 9998.5)","(14.0, 99998, 9998.5)","(2.05, 99998, 9998.5)","(15.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
11-01-2023 11:10:45.093485,"(1.95, 99998, 9998.5)","(14.0, 99998, 9998.5)","(2.05, 99998, 9998.5)","(15.0, 99998, 9998.5)","(31.0, 99998, 9998.5)","(41.0, 99998, 9998.5)"
