,Mr Wallace,The Heavyweight,Skylon,Our Kinsmen,Wild Irish Rover,Promise The Moon,Ultron,Loniesha,Nullify,Raging Climax
14-12-2022 13:42:32.116558,"(2.3, 2.7, 2.6885714285714286)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.24)","(41.0, 48.0, 46.0)","(2.7, 3.3, 3.2870689655172414)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 250.0, 219.16666666666666)","(4.8, 7.4, 7.355555555555556)","(31.0, 180.0, 128.75)"
14-12-2022 13:42:33.782206,"(2.3, 2.7, 2.6885714285714286)","(101.0, 720.0, 582.5)","(19.0, 25.0, 22.24)","(41.0, 48.0, 46.0)","(2.7, 3.3, 3.2870689655172414)","(14.0, 18.5, 18.4)","(51.0, 70.0, 68.84615384615384)","(61.0, 250.0, 219.16666666666666)","(4.8, 7.4, 7.355555555555556)","(31.0, 170.0, 128.75)"
14-12-2022 13:42:35.290024,"(2.3, 2.7, 2.6885714285714286)","(101.0, 720.0, 582.5)","(19.0, 25.0, 24.22222222222222)","(41.0, 48.0, 47.46666666666667)","(2.7, 3.3, 3.17755905511811)","(14.0, 18.5, 17.357142857142858)","(51.0, 70.0, 69.23076923076923)","(61.0, 250.0, 233.0)","(4.8, 7.4, 7.355555555555556)","(31.0, 170.0, 146.9230769230769)"
14-12-2022 13:42:36.760422,"(2.3, 2.7, 2.6733333333333333)","(101.0, 720.0, 582.5)","(19.0, 25.0, 24.22222222222222)","(41.0, 48.0, 47.46666666666667)","(2.7, 3.25, 3.17755905511811)","(14.0, 18.0, 17.294117647058822)","(51.0, 70.0, 69.23076923076923)","(61.0, 250.0, 233.0)","(4.8, 7.4, 7.355555555555556)","(31.0, 170.0, 151.8181818181818)"
14-12-2022 13:42:38.273739,"(2.3, 2.7, 2.6733333333333333)","(101.0, 720.0, 650.0)","(19.0, 25.0, 24.22222222222222)","(41.0, 48.0, 47.46666666666667)","(2.7, 3.25, 3.17755905511811)","(14.0, 18.0, 17.294117647058822)","(51.0, 70.0, 69.23076923076923)","(61.0, 250.0, 210.9090909090909)","(4.8, 7.4, 7.357142857142858)","(31.0, 140.0, 129.23076923076923)"
14-12-2022 13:42:39.658618,"(2.3, 2.7, 2.6733333333333333)","(101.0, 730.0, 650.0)","(19.0, 25.0, 24.22222222222222)","(41.0, 48.0, 47.46666666666667)","(2.7, 3.25, 3.17755905511811)","(14.0, 18.0, 17.294117647058822)","(51.0, 70.0, 69.23076923076923)","(61.0, 240.0, 202.72727272727275)","(4.8, 7.4, 7.28)","(31.0, 140.0, 129.23076923076923)"
14-12-2022 13:42:41.354636,"(2.3, 2.7, 2.6733333333333333)","(101.0, 730.0, 650.0)","(19.0, 25.0, 24.22222222222222)","(41.0, 48.0, 47.46666666666667)","(2.7, 3.25, 3.17755905511811)","(14.0, 18.0, 17.294117647058822)","(51.0, 70.0, 69.23076923076923)","(61.0, 230.0, 202.72727272727275)","(4.8, 7.4, 7.28)","(31.0, 140.0, 129.23076923076923)"
14-12-2022 13:42:43.092993,"(2.3, 2.7, 2.6733333333333333)","(101.0, 730.0, 650.0)","(19.0, 25.0, 24.22222222222222)","(41.0, 48.0, 47.46666666666667)","(2.7, 3.25, 3.17755905511811)","(14.0, 18.0, 17.294117647058822)","(51.0, 70.0, 69.23076923076923)","(61.0, 230.0, 192.5)","(4.8, 7.4, 7.28)","(31.0, 140.0, 129.23076923076923)"
14-12-2022 13:42:45.053246,"(2.3, 2.7, 2.6733333333333333)","(101.0, 730.0, 650.0)","(19.0, 25.0, 24.22222222222222)","(41.0, 48.0, 47.46666666666667)","(2.7, 3.25, 3.17755905511811)","(14.0, 18.0, 17.294117647058822)","(51.0, 70.0, 69.23076923076923)","(61.0, 230.0, 192.5)","(4.8, 7.4, 7.28)","(31.0, 140.0, 129.23076923076923)"
14-12-2022 13:42:46.822022,"(2.3, 2.7, 2.6733333333333333)","(101.0, 730.0, 650.0)","(19.0, 25.0, 24.22222222222222)","(41.0, 48.0, 47.46666666666667)","(2.7, 3.25, 3.179770992366412)","(14.0, 18.0, 17.294117647058822)","(51.0, 70.0, 69.16666666666667)","(61.0, 230.0, 192.5)","(4.8, 7.4, 7.28)","(31.0, 140.0, 129.23076923076923)"
