,Chilli Cherry,Levis Beach,Jet Keen,Murrurundi Boy,Nitro Jax,Irinka Isla,Two Suns
08-12-2022 14:49:57.565209,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:49:58.863843,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:50:00.110809,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 35.66666666666667)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 18.945454545454545)","(26.0, 110.0, 68.5)","(10.0, 25.0, 19.8)"
08-12-2022 14:50:01.375119,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.083333333333336)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 25.0, 20.72222222222222)"
08-12-2022 14:50:02.665196,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 25.0, 20.72222222222222)"
08-12-2022 14:50:03.881935,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 25.0, 20.72222222222222)"
08-12-2022 14:50:05.148526,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 25.0, 20.72222222222222)"
08-12-2022 14:50:06.397153,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 25.0, 20.72222222222222)"
08-12-2022 14:50:07.553835,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 25.0, 20.72222222222222)"
08-12-2022 14:50:08.733832,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 25.0, 20.72222222222222)"
08-12-2022 14:50:09.922096,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 25.0, 20.72222222222222)"
08-12-2022 14:50:11.139673,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 25.0, 20.72222222222222)"
08-12-2022 14:50:12.379145,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 25.0, 20.72222222222222)"
08-12-2022 14:50:13.604553,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 25.0, 20.72222222222222)"
08-12-2022 14:50:14.851225,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 25.0, 20.72222222222222)"
08-12-2022 14:50:16.200981,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 25.0, 25.46)"
08-12-2022 14:50:17.580182,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 34.0, 25.46)"
08-12-2022 14:50:18.880232,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 34.0, 25.46)"
08-12-2022 14:50:20.440838,"(6.0, 11.0, 7.836363636363636)","(15.0, 46.0, 33.291666666666664)","(1.4, 1.83, 1.4845454545454546)","(10.0, 22.0, 21.0)","(8.5, 20.0, 19.240000000000002)","(26.0, 110.0, 68.5)","(10.0, 34.0, 25.46)"
