,Carmelized,Lockdown Vanna,Makinlimmargaritas,Playing For Two,Golden Sally,Smokin Lady,Showthemoneyhoney,Polish The Diamond,Xposed Secret,Stryda
07-01-2023 09:56:13.168279,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:14.526386,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:15.804045,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:17.004410,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:18.269598,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:19.488905,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:20.758101,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:22.049220,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:23.306029,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:24.580893,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:25.785080,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:27.098780,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:28.372222,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:29.652283,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:31.020526,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:32.394106,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:33.626951,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:34.913063,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:36.122209,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:56:37.349688,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
