,My Compass,King Of All,Lektra Nick,Irenes A Star,Prussian Spirit,Bushmans Prayer,Major China,Why Not Gigi
04-01-2023 16:07:32.852537,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:33.961644,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:35.157056,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:36.364089,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:37.538291,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:38.726764,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:39.871072,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:41.030470,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:42.205211,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:43.434311,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:44.665997,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:45.903039,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:47.031466,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:48.103439,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
04-01-2023 16:07:49.195452,"(3.7, 5.8, 4.909375)","(4.8, 8.2, 7.085714285714285)","(10.0, 19.0, 15.466666666666667)","(3.9, 5.8, 4.953260869565217)","(21.0, 60.0, 40.0)","(7.0, 13.0, 12.373684210526317)","(5.0, 9.8, 8.43888888888889)","(10.0, 50.0, 31.818181818181817)"
