,Goldngalaxy,Mata Ole Le Afa,Sheza Adda,Times Tickin,Last Mini Minor,Brooklyn Mai Tai
07-12-2022 13:30:00.905062,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 33.333333333333336)","(81.0, 360.0, 295.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:02.007996,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:03.178965,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:04.220860,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:05.474180,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:06.574765,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:07.518989,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:08.496776,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:09.607668,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:10.674086,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:11.704589,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:12.769708,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:14.034978,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:15.177556,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:16.251932,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:17.453989,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:18.638665,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:19.707936,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:30:20.783954,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 38.4)","(81.0, 340.0, 205.0)","(26.0, 40.0, 36.666666666666664)","(8.0, 12.0, 10.857142857142858)"
