,Dont Tell Benji,Mac Cruz,Spellman,Aston Senator,Hey Tootle,Aston Zabbar,Kumani Sapphire
09-01-2023 14:56:48.241321,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:49.405963,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:50.500257,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:51.539803,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:52.515800,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:53.562364,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:54.655579,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:55.710156,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:56.746825,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:57.798269,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 16.214285714285715)"
09-01-2023 14:56:58.877193,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 20.0, 15.571428571428573)"
09-01-2023 14:57:00.019130,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.571428571428573)"
09-01-2023 14:57:01.154421,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.571428571428573)"
09-01-2023 14:57:02.330776,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.571428571428573)"
09-01-2023 14:57:03.418572,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.571428571428573)"
09-01-2023 14:57:04.428034,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.571428571428573)"
09-01-2023 14:57:05.352750,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.571428571428573)"
09-01-2023 14:57:06.309491,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.571428571428573)"
09-01-2023 14:57:07.340314,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.571428571428573)"
09-01-2023 14:57:08.375437,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.7, 3.81)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.571428571428573)"
09-01-2023 14:57:09.480946,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.571428571428573)"
09-01-2023 14:57:10.583862,"(8.0, 14.0, 12.719999999999999)","(12.0, 30.0, 16.785714285714285)","(6.0, 17.0, 13.533333333333333)","(5.5, 9.0, 7.338461538461539)","(3.3, 5.6, 3.794)","(2.8, 3.8, 2.889375)","(10.0, 19.0, 15.571428571428573)"
