,Book Launch,Dio,Foxys Star,Gottaluvjimmy,Kashiwa,Swiftly Ned,Ceejay,Prophets Choice,Alassak,Lotus Land,Springlodge,Miss Epernay
07-01-2023 13:27:10.437157,"(7.5, 11.0, 10.1)","(4.6, 5.6, 5.529411764705882)","(18.0, 36.0, 29.0)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 40.8)","(9.0, 12.5, 11.0)","(8.0, 9.6, 9.52)","(6.0, 7.4, 6.85)","(19.0, 24.0, 23.833333333333332)","(15.0, 21.0, 18.8125)","(31.0, 95.0, 85.0)","(41.0, 110.0, 87.5)"
07-01-2023 13:27:12.160095,"(7.5, 11.0, 10.1)","(4.6, 5.6, 5.529411764705882)","(18.0, 36.0, 29.0)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 40.8)","(9.0, 12.5, 11.5)","(8.0, 9.6, 9.52)","(6.0, 7.4, 6.85)","(19.0, 24.0, 23.833333333333332)","(15.0, 21.0, 18.857142857142858)","(31.0, 95.0, 85.0)","(41.0, 110.0, 87.5)"
07-01-2023 13:27:13.854417,"(7.5, 11.0, 10.1)","(4.6, 5.6, 5.4714285714285715)","(18.0, 36.0, 29.0)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 40.8)","(9.0, 12.0, 11.5)","(8.0, 9.6, 9.52)","(6.0, 7.4, 6.85)","(19.0, 24.0, 23.833333333333332)","(15.0, 21.0, 18.857142857142858)","(31.0, 95.0, 85.0)","(41.0, 110.0, 87.5)"
07-01-2023 13:27:15.506455,"(7.5, 11.0, 10.1)","(4.6, 5.6, 5.4714285714285715)","(18.0, 36.0, 29.0)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 40.8)","(9.0, 12.0, 11.5)","(8.0, 9.6, 9.52)","(6.0, 7.4, 6.85)","(19.0, 24.0, 23.5)","(15.0, 21.0, 18.857142857142858)","(31.0, 95.0, 85.0)","(41.0, 110.0, 87.5)"
07-01-2023 13:27:17.202785,"(7.5, 11.0, 10.1)","(4.6, 5.6, 5.4714285714285715)","(19.0, 36.0, 29.0)","(4.8, 5.3, 5.277272727272727)","(21.0, 48.0, 40.8)","(8.5, 12.0, 11.5)","(8.0, 9.6, 9.52)","(6.0, 7.4, 6.85)","(20.0, 24.0, 23.5)","(15.0, 21.0, 18.857142857142858)","(31.0, 95.0, 85.0)","(41.0, 110.0, 87.5)"
07-01-2023 13:27:19.036583,"(7.5, 11.0, 10.1)","(4.6, 5.6, 5.4714285714285715)","(19.0, 36.0, 27.5)","(4.8, 5.3, 5.277272727272727)","(21.0, 46.0, 41.333333333333336)","(8.5, 12.0, 11.5)","(8.0, 9.6, 9.530434782608696)","(6.0, 7.4, 6.85)","(20.0, 24.0, 23.52)","(15.0, 21.0, 18.857142857142858)","(31.0, 95.0, 85.0)","(41.0, 90.0, 75.0)"
07-01-2023 13:27:20.773380,"(7.5, 11.0, 10.1)","(4.6, 5.6, 5.566666666666666)","(19.0, 32.0, 27.5)","(4.8, 5.3, 5.277272727272727)","(21.0, 46.0, 41.333333333333336)","(8.5, 12.0, 11.5)","(8.0, 9.6, 9.530434782608696)","(6.0, 7.4, 6.866666666666666)","(20.0, 24.0, 23.52)","(15.0, 21.0, 18.857142857142858)","(31.0, 95.0, 75.0)","(41.0, 90.0, 75.0)"
07-01-2023 13:27:22.468733,"(7.5, 11.0, 10.1)","(4.6, 5.7, 5.566666666666666)","(19.0, 32.0, 27.5)","(4.8, 5.3, 5.277272727272727)","(21.0, 46.0, 41.333333333333336)","(8.5, 12.0, 11.5)","(8.0, 9.6, 9.530434782608696)","(6.0, 7.4, 6.866666666666666)","(20.0, 24.0, 23.52)","(15.0, 21.0, 18.857142857142858)","(31.0, 95.0, 75.0)","(41.0, 90.0, 75.0)"
07-01-2023 13:27:24.125279,"(7.5, 11.5, 10.35)","(4.6, 5.7, 5.566666666666666)","(19.0, 32.0, 27.5)","(4.8, 5.3, 5.277272727272727)","(21.0, 46.0, 42.5)","(8.5, 12.0, 11.5)","(8.0, 9.6, 9.530434782608696)","(6.0, 7.4, 6.866666666666666)","(20.0, 24.0, 23.52)","(15.0, 21.0, 18.857142857142858)","(31.0, 95.0, 75.0)","(41.0, 90.0, 75.0)"
07-01-2023 13:27:25.824102,"(7.5, 11.5, 10.35)","(4.6, 5.7, 5.566666666666666)","(19.0, 32.0, 27.5)","(4.8, 5.3, 5.277272727272727)","(21.0, 46.0, 42.5)","(8.5, 12.0, 11.5)","(8.0, 9.6, 9.530434782608696)","(6.0, 7.4, 6.866666666666666)","(20.0, 24.0, 23.52)","(15.0, 21.0, 18.857142857142858)","(31.0, 95.0, 75.0)","(41.0, 90.0, 75.0)"
