,Daddysruby,Carmel By The Sea,Forever Lovely,Blazin Bae,Vintage,Lady Of The Light,Like No Other,Rose Of Mooncoin,Fourth Street,Smile And Profile
08-01-2023 09:20:16.633385,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:20:17.719666,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:20:18.821113,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:20:19.907914,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:20:21.011249,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:20:22.108010,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:20:23.222560,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:20:24.301011,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:20:25.391298,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
08-01-2023 09:20:26.476334,"(12.0, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)","(26.0, 99999, 99990)","(7.0, 99999, 99990)","(18.0, 99999, 99990)","(6.0, 99999, 99990)","(4.2, 99999, 99990)","(3.6, 99999, 99990)","(8.5, 99999, 99990)"
