,Idyllic Sky,Lala Speed,Iron Atlas,Extreme Rage,Royal Gypsy,Angus Anchovy,Osprey Knight
07-01-2023 17:24:48.362524,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.7, 2.1081818181818184)","(5.5, 15.5, 8.214285714285714)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 44.0, 32.18181818181819)"
07-01-2023 17:24:49.269743,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.68, 2.11)","(5.5, 15.5, 8.214285714285714)","(10.0, 19.0, 16.314285714285717)","(17.0, 80.0, 64.57142857142858)","(16.0, 44.0, 47.6)"
07-01-2023 17:24:50.290626,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.5, 8.214285714285714)","(10.0, 21.0, 14.8)","(17.0, 80.0, 64.57142857142858)","(16.0, 55.0, 47.6)"
07-01-2023 17:24:51.286782,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.5, 8.214285714285714)","(10.0, 20.0, 14.8)","(17.0, 80.0, 64.57142857142858)","(16.0, 55.0, 47.6)"
07-01-2023 17:24:52.259440,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.5, 8.214285714285714)","(10.0, 20.0, 14.8)","(17.0, 80.0, 64.57142857142858)","(16.0, 55.0, 47.6)"
07-01-2023 17:24:53.253027,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.5, 8.214285714285714)","(10.0, 20.0, 14.8)","(17.0, 80.0, 64.57142857142858)","(16.0, 55.0, 55.6)"
07-01-2023 17:24:54.161512,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.5, 8.214285714285714)","(10.0, 20.0, 14.8)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 52.75)"
07-01-2023 17:24:55.172502,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.5, 8.214285714285714)","(10.0, 20.0, 14.8)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 34.375)"
07-01-2023 17:24:56.198355,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.5, 8.214285714285714)","(10.0, 20.0, 14.8)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 34.375)"
07-01-2023 17:24:57.223305,"(3.5, 5.6, 4.907692307692307)","(11.0, 21.0, 20.0)","(1.85, 2.66, 2.2733333333333334)","(5.5, 15.5, 8.214285714285714)","(10.0, 20.0, 14.8)","(17.0, 80.0, 64.57142857142858)","(16.0, 65.0, 34.375)"
