,Uri Bale,Tiggerlong Demon,Goldstar Clover,Smash Wave,Amuri Ruru,Taieri Taylee,Homebush Lennon,Sozins Royal
08-12-2022 12:36:03.647642,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:05.063035,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:06.432297,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:07.894076,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:09.323462,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:10.726536,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:12.125366,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:13.486096,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:14.803546,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:16.173113,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:17.498529,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.600000000000001)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:18.930704,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.466666666666665)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
08-12-2022 12:36:20.323439,"(4.8, 8.6, 7.016666666666667)","(5.5, 9.0, 6.357142857142857)","(10.0, 21.0, 12.466666666666665)","(1.7, 2.72, 2.4725)","(26.0, 290.0, 105.15384615384616)","(7.5, 14.0, 11.6)","(41.0, 340.0, 289.0)","(21.0, 250.0, 103.42857142857142)"
