,Contract,Out Of Cash,Hope Sure Can,Murphys Mate,Traviss Lauryn,Lightning Zeal,First Black Jack,Nando Flyer
08-01-2023 18:45:27.566672,"(5.0, 10.5, 8.766666666666666)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.6, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.36)"
08-01-2023 18:45:28.796261,"(5.0, 10.5, 8.766666666666666)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.6, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.55)"
08-01-2023 18:45:30.093642,"(5.0, 10.5, 8.766666666666666)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.6, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 392.28571428571433)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.440000000000001)"
08-01-2023 18:45:31.335186,"(5.0, 10.5, 8.766666666666666)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.6, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 530.0, 284.0)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.440000000000001)"
08-01-2023 18:45:32.578676,"(5.0, 10.5, 8.766666666666666)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.6, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 520.0, 284.0)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.440000000000001)"
08-01-2023 18:45:33.832452,"(5.0, 10.5, 8.766666666666666)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.6, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 520.0, 294.0)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.440000000000001)"
08-01-2023 18:45:35.055629,"(5.0, 10.5, 8.766666666666666)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.6, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 540.0, 294.0)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.440000000000001)"
08-01-2023 18:45:36.306153,"(5.0, 10.5, 8.766666666666666)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.6, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 540.0, 294.0)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.440000000000001)"
08-01-2023 18:45:37.477047,"(5.0, 10.5, 8.766666666666666)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.6, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 36.875)","(51.0, 540.0, 294.0)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.440000000000001)"
08-01-2023 18:45:38.577405,"(5.0, 10.5, 8.766666666666666)","(31.0, 110.0, 52.14285714285714)","(5.0, 9.6, 9.225)","(41.0, 250.0, 97.14285714285714)","(21.0, 65.0, 40.0)","(51.0, 540.0, 294.0)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.440000000000001)"
