,What A Nose,Dairy Girl,Memories Keep,Noaki Cruise,Noaki Nipper,Stylish Rico,Lock It In,Gypsy Rico
08-01-2023 19:27:35.180164,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:36.428009,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:37.681425,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:38.922655,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:40.227552,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:41.467368,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:42.907805,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:44.096840,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:45.394673,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:46.615561,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:48.003215,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:49.121165,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:50.253035,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:51.452659,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:52.696411,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:53.826438,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:54.951599,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:56.072484,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:57.365353,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:27:58.605741,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
