,Gudgeon Pin,Good Charlotte,Get A Shout,Roma Bella,Prabaker,Pepperberry,Manawata,Dr Archer
07-12-2022 19:10:54.757909,"(2.0, 2.6, 2.2625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 28.4375)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:55.863592,"(2.0, 2.6, 2.1475675675675676)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 28.4375)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:57.087588,"(2.0, 2.6, 2.3267796610169493)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 28.4375)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:58.279197,"(2.0, 2.6, 2.3267796610169493)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 28.4375)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:59.471651,"(2.0, 2.6, 2.3267796610169493)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 28.4375)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:00.721557,"(2.0, 2.6, 2.3267796610169493)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:02.169241,"(2.0, 2.6, 2.3267796610169493)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:03.525035,"(2.0, 2.6, 2.3267796610169493)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:04.773092,"(2.0, 2.6, 2.0768750000000002)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:05.918061,"(2.0, 2.6, 2.2785185185185184)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:07.145075,"(2.0, 2.6, 2.2785185185185184)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:08.344492,"(2.0, 2.6, 2.0768750000000002)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:09.712984,"(2.0, 2.6, 2.0768750000000002)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:10.953501,"(2.0, 2.6, 2.0768750000000002)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:12.386934,"(2.0, 2.6, 2.0768750000000002)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:13.667880,"(2.0, 2.6, 2.0768750000000002)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:14.914113,"(2.0, 2.6, 2.0768750000000002)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.219230769230769)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:16.208258,"(2.0, 2.6, 2.2958490566037737)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.15)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:11:17.467905,"(2.0, 2.6, 2.2958490566037737)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.15)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.914285714285715)"
07-12-2022 19:11:18.551527,"(2.0, 2.6, 2.2702127659574467)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 4.15)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.82)"
07-12-2022 19:11:19.694625,"(2.0, 2.6, 2.2702127659574467)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 3.9454545454545453)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.75)"
07-12-2022 19:11:20.922459,"(2.0, 2.6, 2.2702127659574467)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 3.9454545454545453)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.75)"
07-12-2022 19:11:22.053355,"(2.0, 2.6, 2.2702127659574467)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 3.9454545454545453)","(15.0, 50.0, 35.833333333333336)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.75)"
