,The Englishman,Gago,Were Da Ya Get It,West Cork,Huracanevo,Utopian Spirit,Moscow Night,Esky,Pure Hydrogen,Romeos Choice
11-01-2023 13:13:02.490907,"(3.2, 3.85, 3.805964467005076)","(26.0, 36.0, 35.0)","(5.0, 5.9, 5.785294117647059)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.688888888888888)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.24)","(31.0, 70.0, 57.2)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:13:03.730967,"(3.2, 3.85, 3.805964467005076)","(26.0, 36.0, 35.0)","(5.0, 5.9, 5.785294117647059)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.688888888888888)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.24)","(31.0, 70.0, 57.2)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:13:04.855795,"(3.2, 3.85, 3.805964467005076)","(26.0, 36.0, 34.666666666666664)","(5.0, 5.9, 5.785294117647059)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.688888888888888)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.122580645161291)","(31.0, 70.0, 58.18181818181818)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:13:06.074481,"(3.2, 3.85, 3.8009887005649716)","(26.0, 36.0, 35.0)","(5.0, 5.9, 5.817241379310345)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.891017964071856)","(14.0, 18.0, 16.875)","(5.5, 6.2, 6.082926829268293)","(31.0, 60.0, 58.18181818181818)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:13:07.272047,"(3.2, 3.85, 3.800966850828729)","(26.0, 36.0, 35.0)","(5.0, 5.9, 5.817241379310345)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.9047120418848165)","(14.0, 18.0, 16.875)","(5.5, 6.2, 6.071140939597315)","(31.0, 60.0, 56.666666666666664)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:13:08.406214,"(3.2, 3.85, 3.800966850828729)","(26.0, 36.0, 35.0)","(5.0, 5.9, 5.817241379310345)","(15.0, 17.0, 16.333333333333332)","(6.5, 8.0, 7.9047120418848165)","(14.0, 18.0, 16.875)","(5.5, 6.2, 6.071140939597315)","(31.0, 60.0, 56.666666666666664)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:13:09.563531,"(3.2, 3.85, 3.800966850828729)","(26.0, 36.0, 35.0)","(5.0, 5.9, 5.817241379310345)","(15.0, 17.0, 16.647058823529413)","(6.5, 8.0, 7.9047120418848165)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.254545454545455)","(31.0, 60.0, 54.0)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:13:10.744163,"(3.2, 3.85, 3.800966850828729)","(26.0, 36.0, 34.666666666666664)","(5.0, 5.9, 5.817241379310345)","(15.0, 17.0, 16.684210526315788)","(6.5, 8.0, 7.901086956521739)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.254545454545455)","(31.0, 60.0, 54.0)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.666666666666668)"
11-01-2023 13:13:11.933541,"(3.2, 3.85, 3.800966850828729)","(26.0, 36.0, 34.666666666666664)","(5.0, 5.9, 5.817241379310345)","(15.0, 17.0, 16.647058823529413)","(6.5, 8.0, 7.901086956521739)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.266666666666667)","(31.0, 60.0, 54.0)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:13:13.130941,"(3.2, 3.85, 3.800966850828729)","(26.0, 36.0, 34.45161290322581)","(5.0, 5.9, 5.817241379310345)","(15.0, 17.0, 16.647058823529413)","(6.5, 8.0, 7.901086956521739)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.266666666666667)","(31.0, 60.0, 54.0)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:13:14.234549,"(3.2, 3.85, 3.800966850828729)","(26.0, 36.0, 34.45161290322581)","(5.0, 5.9, 5.790909090909091)","(15.0, 17.0, 16.352941176470587)","(6.5, 8.0, 7.901086956521739)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.266666666666667)","(31.0, 60.0, 54.0)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
11-01-2023 13:13:15.446100,"(3.2, 3.85, 3.800966850828729)","(26.0, 36.0, 34.45161290322581)","(5.0, 5.9, 5.790909090909091)","(15.0, 17.0, 16.352941176470587)","(6.5, 8.0, 7.901086956521739)","(14.0, 18.0, 16.875)","(5.5, 6.4, 6.266666666666667)","(31.0, 60.0, 54.0)","(11.0, 15.0, 14.525)","(26.0, 32.0, 30.88888888888889)"
