,Venting,Stately Star,Laelaps,Alchian,Sheezabigdeel,Master Of Zerprise,Sports Idol,Raise The Colours,If You Leave,Albanian Eagle,Chattering,Bungalally Babe
06-01-2023 13:45:22.558355,"(7.0, 10.0, 10.6)","(13.0, 16.5, 16.153846153846153)","(4.8, 7.4, 7.11578947368421)","(5.0, 7.0, 6.8)","(6.0, 6.4, 6.133333333333334)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 8.05)","(13.0, 15.5, 15.454081632653061)","(9.0, 12.0, 11.566666666666666)","(31.0, 95.0, 77.5)","(91.0, 170.0, 136.66666666666666)"
06-01-2023 13:45:24.076552,"(7.0, 11.5, 10.6)","(13.0, 16.5, 15.833333333333334)","(4.8, 7.4, 7.152941176470589)","(5.0, 7.0, 6.84)","(6.0, 6.4, 5.802816901408451)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 24.333333333333332)","(6.5, 8.4, 8.05)","(13.0, 15.5, 15.491477272727273)","(9.0, 12.0, 11.566666666666666)","(31.0, 95.0, 77.5)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:25.651807,"(7.0, 11.5, 10.6)","(13.0, 16.5, 16.0)","(4.8, 7.4, 7.152941176470589)","(5.0, 7.0, 6.84)","(6.0, 6.0, 5.751351351351351)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 26.2)","(6.5, 8.4, 8.280000000000001)","(13.0, 15.5, 15.977401129943503)","(9.0, 12.0, 11.566666666666666)","(31.0, 95.0, 77.5)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:27.184957,"(7.5, 11.0, 9.200000000000001)","(13.0, 16.5, 16.0)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.84)","(6.0, 5.8, 5.751351351351351)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 26.2)","(7.0, 8.4, 8.280000000000001)","(13.0, 16.0, 15.977401129943503)","(9.0, 12.0, 11.566666666666666)","(41.0, 95.0, 77.5)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:28.695409,"(7.5, 11.0, 9.200000000000001)","(13.0, 16.5, 16.0)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.84)","(6.0, 5.8, 5.751351351351351)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 26.2)","(7.0, 8.4, 8.280000000000001)","(13.0, 16.0, 15.977401129943503)","(9.0, 12.0, 11.566666666666666)","(41.0, 95.0, 77.5)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:30.089865,"(7.5, 11.0, 9.200000000000001)","(13.0, 16.5, 16.0)","(4.6, 7.4, 7.19)","(5.0, 7.0, 6.84)","(6.0, 5.8, 5.751351351351351)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 28.0)","(7.0, 8.4, 8.280000000000001)","(13.0, 16.0, 15.977401129943503)","(9.0, 12.0, 11.566666666666666)","(41.0, 95.0, 89.16666666666666)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:31.551950,"(7.5, 11.0, 9.200000000000001)","(13.0, 16.5, 16.0)","(4.6, 7.4, 7.19)","(5.0, 7.0, 6.84)","(6.0, 5.8, 5.751351351351351)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 28.0)","(7.0, 8.4, 8.280000000000001)","(13.0, 16.0, 15.977401129943503)","(9.0, 12.0, 11.566666666666666)","(41.0, 95.0, 89.16666666666666)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:33.023903,"(7.5, 11.0, 9.28888888888889)","(13.0, 16.5, 16.0)","(4.6, 7.4, 7.19)","(5.0, 7.0, 6.84)","(6.0, 5.8, 5.751351351351351)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 28.0)","(7.0, 8.4, 8.280000000000001)","(13.0, 16.0, 15.977401129943503)","(9.0, 12.0, 11.566666666666666)","(41.0, 95.0, 89.16666666666666)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:34.477620,"(7.5, 11.0, 9.68)","(13.0, 16.5, 16.0)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.84)","(6.0, 5.8, 5.751351351351351)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 28.0)","(7.0, 8.4, 8.280000000000001)","(13.0, 16.0, 15.977401129943503)","(9.0, 12.0, 12.0)","(41.0, 95.0, 89.16666666666666)","(91.0, 170.0, 145.0)"
06-01-2023 13:45:35.893932,"(7.5, 11.0, 9.68)","(13.0, 16.5, 16.0)","(4.6, 7.4, 7.152941176470589)","(5.0, 7.0, 6.84)","(6.0, 5.8, 6.533333333333333)","(14.0, 20.0, 19.142857142857142)","(18.0, 29.0, 28.0)","(7.0, 8.4, 8.280000000000001)","(13.0, 16.0, 15.977401129943503)","(9.0, 14.0, 12.0)","(41.0, 95.0, 89.16666666666666)","(91.0, 170.0, 145.0)"
