,Zambora Opal,Blazing Arnie,Mr Deeds,Fabs Udon,Spring Scout,Charizard,High Action,Marriage Over
07-12-2022 20:44:20.696154,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 30.0, 20.5)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:44:22.021181,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 30.0, 20.5)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:44:23.411272,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 30.0, 20.5)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:44:24.784591,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 30.0, 20.5)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:44:26.135721,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 30.0, 20.5)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:44:27.457819,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 30.0, 20.5)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.9857142857142858)"
07-12-2022 20:44:28.850859,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 30.0, 20.5)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.7753846153846156)"
07-12-2022 20:44:30.187754,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 30.0, 20.5)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.7753846153846156)"
07-12-2022 20:44:31.402219,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 30.0, 16.666666666666664)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.7753846153846156)"
07-12-2022 20:44:32.582545,"(5.5, 9.2, 8.67142857142857)","(8.5, 21.0, 10.200000000000001)","(20.0, 90.0, 58.18181818181818)","(2.8, 4.7, 3.98)","(16.0, 28.0, 16.666666666666664)","(31.0, 220.0, 126.0)","(81.0, 580.0, 496.66666666666663)","(2.0, 3.3, 2.7753846153846156)"
