,Versetto,Hongbao,Tequila Sunset,Midnight Rush,Opal Beach,Grandma Gail,Magiclane,Morphett Road
16-12-2022 15:30:09.346564,"(8.5, 8.8, 8.695686274509804)","(1.75, 2.02, 2.0104225352112675)","(10.0, 12.5, 11.996875)","(5.5, 7.4, 7.334351145038168)","(31.0, 42.0, 41.57446808510638)","(7.5, 8.0, 7.869318181818182)","(41.0, 65.0, 63.22222222222222)","(101.0, 380.0, 355.0)"
16-12-2022 15:30:10.756297,"(8.5, 8.8, 8.708928571428572)","(1.75, 2.02, 2.010744186046512)","(10.0, 12.0, 11.917874396135266)","(5.5, 7.4, 7.319354838709677)","(31.0, 42.0, 41.57446808510638)","(7.5, 8.0, 8.047257383966244)","(41.0, 65.0, 63.048780487804876)","(101.0, 380.0, 355.0)"
16-12-2022 15:30:12.144526,"(8.5, 8.8, 8.673053892215568)","(1.75, 2.02, 2.0128214285714288)","(10.0, 12.0, 11.911904761904761)","(5.5, 7.4, 7.219767441860466)","(31.0, 42.0, 39.578947368421055)","(7.5, 8.2, 8.22112676056338)","(41.0, 65.0, 63.095238095238095)","(101.0, 380.0, 337.14285714285717)"
16-12-2022 15:30:13.520000,"(8.5, 8.8, 8.659602649006622)","(1.75, 2.02, 2.016214953271028)","(10.0, 12.0, 11.991902834008098)","(5.5, 7.4, 7.237726098191215)","(31.0, 40.0, 39.609756097560975)","(7.5, 8.4, 8.294505494505495)","(41.0, 65.0, 63.095238095238095)","(101.0, 380.0, 344.0)"
16-12-2022 15:30:14.853711,"(8.5, 8.8, 8.665030674846626)","(1.75, 2.02, 2.0141632653061223)","(10.0, 12.0, 11.992)","(5.5, 7.4, 7.246078431372549)","(31.0, 40.0, 39.5)","(7.5, 8.4, 8.247404063205417)","(41.0, 65.0, 63.0)","(101.0, 380.0, 365.0)"
16-12-2022 15:30:16.232414,"(8.0, 8.8, 8.686842105263159)","(1.75, 2.02, 2.0141176470588236)","(10.0, 12.0, 11.95539033457249)","(5.5, 7.4, 7.273127753303965)","(31.0, 40.0, 39.02127659574468)","(7.5, 8.4, 8.254310344827587)","(41.0, 65.0, 63.095238095238095)","(101.0, 380.0, 342.5)"
16-12-2022 15:30:19.562368,"(8.0, 9.2, 9.047398843930635)","(1.75, 2.04, 2.0202697495183046)","(11.0, 12.0, 11.811983471074381)","(5.5, 7.4, 7.267873303167421)","(31.0, 40.0, 38.97959183673469)","(7.5, 8.2, 8.148969072164949)","(41.0, 65.0, 62.888888888888886)","(101.0, 380.0, 342.5)"
16-12-2022 15:30:20.918643,"(8.0, 9.2, 9.047398843930635)","(1.8, 2.04, 2.016111111111111)","(10.0, 12.0, 11.748603351955307)","(5.5, 7.4, 7.132214765100671)","(31.0, 40.0, 38.96)","(7.5, 8.2, 8.15835616438356)","(41.0, 65.0, 63.095238095238095)","(101.0, 380.0, 342.5)"
16-12-2022 15:30:22.276961,"(8.0, 9.8, 9.608955223880598)","(1.8, 1.99, 1.9851136363636364)","(10.0, 12.0, 11.825)","(5.5, 7.2, 7.087470449172577)","(31.0, 40.0, 38.96)","(7.5, 8.2, 8.106787330316742)","(41.0, 65.0, 63.095238095238095)","(101.0, 380.0, 342.5)"
16-12-2022 15:30:23.659497,"(8.0, 10.0, 9.831578947368422)","(1.8, 2.0, 1.9867167919799498)","(10.0, 12.0, 11.825)","(5.5, 7.2, 7.124418604651163)","(31.0, 40.0, 39.233333333333334)","(7.5, 8.2, 7.972180451127819)","(41.0, 65.0, 63.095238095238095)","(101.0, 380.0, 342.5)"
16-12-2022 15:30:25.003088,"(8.0, 10.0, 9.741176470588234)","(1.8, 1.99, 1.983701923076923)","(10.0, 12.0, 11.818181818181818)","(5.5, 7.2, 7.146172839506173)","(31.0, 40.0, 39.36666666666667)","(7.5, 8.0, 7.980555555555555)","(41.0, 65.0, 63.22222222222222)","(101.0, 380.0, 342.5)"
16-12-2022 15:30:26.538969,"(8.0, 10.0, 9.79047619047619)","(1.8, 1.99, 1.9769287469287469)","(10.0, 12.0, 11.819354838709678)","(5.5, 7.4, 7.155082742316785)","(31.0, 40.0, 39.3448275862069)","(7.5, 8.0, 8.077124183006536)","(41.0, 65.0, 63.297872340425535)","(101.0, 380.0, 343.3333333333333)"
16-12-2022 15:30:27.971048,"(8.0, 10.0, 9.79047619047619)","(1.8, 1.99, 1.984078947368421)","(10.0, 12.0, 11.819354838709678)","(5.5, 7.4, 7.175271149674621)","(31.0, 40.0, 39.25)","(7.5, 8.2, 7.915)","(41.0, 65.0, 63.44444444444444)","(101.0, 390.0, 344.54545454545456)"
16-12-2022 15:30:30.062141,"(8.0, 10.0, 9.789041095890411)","(1.8, 1.99, 1.984767441860465)","(10.0, 12.0, 11.763473053892216)","(5.5, 7.4, 7.175271149674621)","(31.0, 40.0, 39.25)","(7.5, 8.0, 7.903585657370518)","(41.0, 65.0, 63.541666666666664)","(101.0, 390.0, 344.54545454545456)"
16-12-2022 15:30:31.605896,"(8.0, 10.0, 9.855399061032864)","(1.8, 1.99, 1.9847490347490346)","(10.0, 12.0, 11.780898876404494)","(5.5, 7.4, 7.170196078431372)","(31.0, 40.0, 39.28358208955224)","(7.5, 8.0, 7.898744769874477)","(41.0, 65.0, 63.627450980392155)","(101.0, 390.0, 344.54545454545456)"
16-12-2022 15:30:33.246359,"(8.0, 10.0, 9.849541284403669)","(1.8, 1.99, 1.9866304347826087)","(10.0, 12.0, 11.56637168141593)","(5.5, 7.4, 7.170196078431372)","(31.0, 40.0, 39.18181818181818)","(7.5, 8.0, 7.896860986547085)","(41.0, 65.0, 63.425925925925924)","(101.0, 390.0, 344.54545454545456)"
16-12-2022 15:30:35.253139,"(8.0, 10.0, 9.876691729323309)","(1.8, 1.99, 1.9858912386706948)","(10.0, 12.0, 11.523622047244094)","(5.5, 7.4, 7.169721115537849)","(31.0, 40.0, 39.18181818181818)","(7.0, 8.0, 7.9025423728813555)","(41.0, 65.0, 63.7)","(101.0, 390.0, 344.54545454545456)"
16-12-2022 15:30:37.263284,"(8.0, 10.0, 9.918072289156626)","(1.8, 1.99, 1.9862116991643455)","(10.0, 12.0, 11.541666666666666)","(5.5, 7.4, 7.183419689119171)","(31.0, 40.0, 39.25)","(7.0, 8.0, 7.836842105263158)","(41.0, 65.0, 63.72549019607843)","(101.0, 390.0, 347.14285714285717)"
16-12-2022 15:30:38.649609,"(8.0, 10.0, 9.996)","(1.8, 1.99, 2.072857142857143)","(10.0, 12.0, 11.363636363636363)","(6.0, 7.2, 6.7272727272727275)","(31.0, 40.0, 38.75)","(7.0, 8.0, 7.0285714285714285)","(41.0, 65.0, 74.0)","(101.0, 390.0, 252.85714285714286)"
16-12-2022 15:30:39.949252,"(8.0, 12.5, 11.133333333333333)","(1.8, 2.18, 1.9972)","(10.0, 20.0, 11.363636363636363)","(6.0, 7.2, 6.7272727272727275)","(31.0, 65.0, 38.0)","(7.0, 8.4, 7.0)","(41.0, 100.0, 64.0)","(101.0, 510.0, 252.85714285714286)"
16-12-2022 15:30:41.263948,"(8.0, 12.5, 11.133333333333333)","(1.8, 2.0, 1.9720754716981133)","(10.0, 20.0, 12.666666666666666)","(6.0, 7.2, 7.0)","(31.0, 46.0, 38.0)","(7.0, 8.4, 6.8999999999999995)","(41.0, 80.0, 64.0)","(101.0, 510.0, 158.57142857142856)"
16-12-2022 15:30:42.590454,"(8.0, 12.0, 10.0)","(1.8, 1.98, 1.971111111111111)","(10.0, 17.0, 12.666666666666666)","(6.0, 7.2, 9.564179104477612)","(31.0, 46.0, 38.0)","(7.0, 7.8, 6.8999999999999995)","(51.0, 80.0, 57.0)","(101.0, 510.0, 233.33333333333334)"
16-12-2022 15:30:44.341317,"(8.0, 9.6, 9.085714285714285)","(1.8, 1.98, 1.9536585365853658)","(10.0, 17.0, 11.357142857142858)","(6.0, 10.5, 9.643636363636364)","(31.0, 46.0, 44.5)","(7.0, 7.8, 6.9)","(51.0, 80.0, 42.2)","(101.0, 500.0, 180.0)"
16-12-2022 15:30:46.785879,"(8.0, 9.6, 8.914285714285715)","(1.8, 2.18, 2.1414285714285715)","(10.0, 16.5, 11.357142857142858)","(6.0, 10.0, 7.5181818181818185)","(31.0, 46.0, 44.5)","(7.0, 8.4, 7.2)","(51.0, 70.0, 52.0)","(101.0, 480.0, 294.375)"
16-12-2022 15:30:48.501078,"(8.0, 9.6, 8.914285714285715)","(1.8, 2.18, 2.1617112299465244)","(10.0, 16.5, 11.475000000000001)","(6.0, 10.0, 7.636363636363637)","(31.0, 26.0, 15.534883720930232)","(7.0, 8.4, 7.2)","(51.0, 70.0, 52.0)","(101.0, 480.0, 285.88235294117646)"
16-12-2022 15:30:50.318930,"(8.0, 9.6, 8.914285714285715)","(1.8, 2.18, 2.155593220338983)","(10.0, 16.5, 11.475000000000001)","(6.0, 7.2, 7.064233576642335)","(31.0, 28.0, 20.0)","(7.0, 8.4, 6.9)","(51.0, 90.0, 62.0)","(101.0, 470.0, 430.0)"
16-12-2022 15:30:51.696821,"(8.0, 9.6, 8.914285714285715)","(1.8, 2.18, 2.176216216216216)","(10.0, 16.5, 11.357142857142858)","(6.0, 7.2, 7.06875)","(31.0, 28.0, 13.333333333333334)","(7.0, 8.4, 6.9)","(51.0, 90.0, 62.0)","(101.0, 470.0, 430.0)"
