,Jilliby Tina,Spike The Punch,Tackleberry,Showtime Bobby,Flash Fever,Secret Shades,Memory Lane,Juliette Keats
16-12-2022 12:36:30.118688,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:31.472973,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:32.692507,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:33.974151,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:35.379631,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:36.639692,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:37.899799,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:39.089668,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 10.166666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:40.355892,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:41.586120,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:42.814623,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:44.089807,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:45.361158,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:46.689211,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:47.939691,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:49.248319,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 10.166666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 11.6)"
16-12-2022 12:36:50.601549,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 33.88461538461539)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 10.5)"
16-12-2022 12:36:51.904629,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 34.75)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.8304347826086955)","(41.0, 270.0, 102.85714285714286)","(18.0, 50.0, 39.85294117647059)","(7.0, 14.0, 10.5)"
16-12-2022 12:36:53.057864,"(2.8, 4.6, 3.2615384615384615)","(4.4, 99999, 99990)","(15.0, 46.0, 34.75)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.5, 3.7739130434782613)","(41.0, 270.0, 140.0)","(18.0, 50.0, 43.61111111111111)","(7.0, 14.0, 10.5)"
16-12-2022 12:36:54.320018,"(2.8, 4.6, 3.576470588235294)","(4.4, 99999, 99990)","(15.0, 46.0, 34.75)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.4, 3.7739130434782613)","(41.0, 270.0, 140.0)","(18.0, 50.0, 43.61111111111111)","(7.0, 14.0, 10.5)"
16-12-2022 12:36:55.561631,"(2.8, 4.6, 3.576470588235294)","(4.4, 99999, 99990)","(15.0, 46.0, 34.75)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.4, 3.7739130434782613)","(41.0, 270.0, 140.0)","(18.0, 50.0, 43.61111111111111)","(7.0, 14.0, 10.5)"
16-12-2022 12:36:56.905810,"(2.8, 4.6, 3.0545454545454542)","(4.4, 99999, 99990)","(15.0, 46.0, 34.75)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.4, 3.7739130434782613)","(41.0, 270.0, 140.0)","(18.0, 50.0, 43.61111111111111)","(7.0, 14.0, 10.5)"
16-12-2022 12:36:58.130468,"(2.8, 4.6, 3.0545454545454542)","(4.4, 99999, 99990)","(15.0, 46.0, 34.75)","(7.5, 16.5, 8.766666666666666)","(3.2, 4.4, 3.7739130434782613)","(41.0, 270.0, 140.0)","(18.0, 50.0, 43.61111111111111)","(7.0, 14.0, 10.5)"
