,Kingsbrae Demon,Marinus,Double Charming,Dasha Tullamore,Kingsbrae Noel,Expert Tease,Blazing Bonus,Fly Tom
12-01-2023 11:29:33.425419,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 12.725000000000001)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:34.531210,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 10.1)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:35.623127,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 10.1)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:36.576269,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:37.645705,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:38.736500,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:39.969809,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:41.036742,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:42.127457,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:43.143180,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:44.237984,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:45.301754,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:46.379337,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:47.367580,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:48.391728,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:49.646141,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:50.827471,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:51.866166,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
12-01-2023 11:29:52.887966,"(3.6, 3.95, 3.944545454545455)","(2.2, 2.48, 2.473478260869565)","(6.0, 15.0, 7.0375000000000005)","(61.0, 550.0, 468.33333333333337)","(18.0, 50.0, 30.0)","(51.0, 440.0, 250.0)","(61.0, 520.0, 443.33333333333337)","(3.3, 5.4, 4.466666666666667)"
