,Cedars Wish,Ghostly Squall,Timetogetup,Aims Jubilee,Emberly,Shenandoah Cat,Slewing,Windsors Play,All Caps,Charitable Any
15-12-2022 13:26:31.906882,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.983)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:33.188374,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.983)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:34.465747,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.983)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:35.711196,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.7)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 1.983)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:37.012104,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 2.0154545454545456)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:38.312767,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 2.0154545454545456)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:39.562513,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 2.0154545454545456)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:40.897742,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 2.0154545454545456)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:42.129193,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 2.0154545454545456)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:43.426188,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 2.031)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:44.734685,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 2.031)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:46.045222,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.571428571428571)","(1.6, 2.04, 2.0)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:47.431926,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.0)","(1.6, 2.04, 2.0)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:48.702293,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.0)","(1.6, 2.04, 2.0)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:49.976525,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.0)","(1.6, 2.04, 1.945)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:51.319329,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.0)","(1.6, 2.04, 2.0288235294117647)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:52.693889,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.0)","(1.6, 2.04, 2.004)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:54.111936,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.0)","(1.6, 2.04, 2.004)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:55.419550,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.0)","(1.6, 2.04, 2.004)","(41.0, 620.0, 373.14285714285717)"
15-12-2022 13:26:56.756013,"(17.0, 32.0, 26.6)","(17.0, 24.0, 18.0)","(19.0, 260.0, 181.66666666666666)","(14.0, 18.5, 14.9)","(4.8, 9.8, 9.575000000000001)","(26.0, 48.0, 40.666666666666664)","(12.0, 27.0, 24.125)","(11.0, 16.0, 14.0)","(1.6, 2.04, 2.004)","(41.0, 620.0, 373.14285714285717)"
