,Whos Your Papi,Miss Terri,Within Range,Werina Force,Uncle Charlie,King Wylde,Crayfish,Seaway Flyer
08-01-2023 12:20:33.653788,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.3, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
08-01-2023 12:20:34.692454,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
08-01-2023 12:20:35.685167,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 2.08)"
08-01-2023 12:20:36.728209,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.36, 1.9963636363636363)"
08-01-2023 12:20:37.830175,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:38.869736,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:39.904702,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:40.940024,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:41.916918,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:42.956418,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:43.964575,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:45.036062,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:46.063534,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:47.107024,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:48.123723,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:49.145552,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:50.209084,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:51.242596,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:52.321519,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
08-01-2023 12:20:53.359385,"(10.0, 20.0, 18.94)","(101.0, 730.0, 618.3333333333334)","(31.0, 95.0, 47.85714285714286)","(7.0, 12.0, 11.2)","(26.0, 65.0, 38.75)","(2.9, 5.4, 4.8235294117647065)","(18.0, 50.0, 31.666666666666664)","(1.65, 2.34, 1.9963636363636363)"
