,Kaypat World,Aerobic Maximum,Urban Girl,Side Kick,All Vogue,Maywyn Kama,Out Of Turmoil
16-12-2022 15:02:11.502566,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.16666666666667)"
16-12-2022 15:02:12.527081,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:02:13.565966,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:02:14.624284,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:02:15.733631,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:02:16.843309,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:02:17.894413,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.184615384615384)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:02:19.007811,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.783333333333333)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:02:20.075457,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.783333333333333)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:02:21.153047,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.9875)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:02:22.128443,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.9875)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 39.44444444444444)"
16-12-2022 15:02:23.162759,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.0)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 43.40909090909091)"
16-12-2022 15:02:24.194526,"(12.0, 34.0, 24.454545454545453)","(14.0, 34.0, 31.77777777777778)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.6, 8.0)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 43.40909090909091)"
16-12-2022 15:02:25.258314,"(12.0, 34.0, 16.916666666666668)","(14.0, 34.0, 24.25)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.4, 8.88888888888889)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 43.40909090909091)"
16-12-2022 15:02:26.261755,"(12.0, 34.0, 16.916666666666668)","(14.0, 34.0, 24.25)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.4, 8.275)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 43.40909090909091)"
16-12-2022 15:02:27.287724,"(12.0, 34.0, 16.916666666666668)","(14.0, 34.0, 24.25)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.4, 8.275)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 43.40909090909091)"
16-12-2022 15:02:28.263814,"(12.0, 34.0, 16.916666666666668)","(14.0, 34.0, 24.25)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.4, 8.275)","(2.9, 4.8, 4.002857142857143)","(19.0, 65.0, 43.40909090909091)"
16-12-2022 15:02:29.305210,"(12.0, 34.0, 16.916666666666668)","(14.0, 34.0, 24.25)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.4, 8.275)","(2.9, 4.8, 3.3899999999999997)","(19.0, 65.0, 38.888888888888886)"
16-12-2022 15:02:30.393820,"(12.0, 34.0, 16.916666666666668)","(14.0, 34.0, 24.25)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.4, 8.275)","(2.9, 4.8, 3.3899999999999997)","(19.0, 65.0, 38.888888888888886)"
16-12-2022 15:02:31.550839,"(12.0, 34.0, 16.916666666666668)","(14.0, 34.0, 24.25)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.4, 8.275)","(2.9, 4.8, 3.3899999999999997)","(19.0, 65.0, 38.888888888888886)"
16-12-2022 15:02:32.537079,"(12.0, 34.0, 16.916666666666668)","(14.0, 34.0, 24.25)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.4, 8.275)","(2.9, 4.8, 3.3899999999999997)","(19.0, 65.0, 38.888888888888886)"
16-12-2022 15:02:33.502278,"(12.0, 34.0, 16.916666666666668)","(14.0, 34.0, 24.25)","(5.0, 9.0, 7.975)","(2.7, 4.3, 3.42)","(5.0, 9.4, 8.275)","(2.9, 4.8, 4.2709090909090905)","(19.0, 65.0, 38.888888888888886)"
