,Hazey Roy,Miss Maddy Lee,Chasing Clout,Purdys Chance,Bob Barker
10-01-2023 13:10:11.811867,"(9.0, 18.0, 15.0)","(11.0, 23.0, 22.28125)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:10:12.711955,"(9.0, 18.0, 15.0)","(11.0, 23.0, 22.28125)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:10:13.658661,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:10:14.533511,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:10:15.354881,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:10:16.276821,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:10:17.210944,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:10:18.077337,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:10:18.945414,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
10-01-2023 13:10:19.912971,"(9.0, 18.0, 15.0)","(11.0, 23.0, 20.7)","(5.0, 7.8, 7.390909090909091)","(1.95, 2.96, 1.996896551724138)","(2.9, 4.2, 3.6814285714285715)"
