,Westar Commander,Incineration,Nehalem,Mr Beets,Gomez Bale,Orbital Bale,Lovaz Bale,Spaghetti Legs
07-01-2023 19:09:29.846425,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:31.140796,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:32.349210,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:33.601654,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:34.792536,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:36.048750,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.557142857142857)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.5625)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:37.385945,"(4.2, 7.6, 4.88235294117647)","(9.0, 17.0, 9.628571428571428)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.875)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:38.658478,"(4.2, 7.6, 4.88235294117647)","(9.0, 17.0, 9.628571428571428)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 31.875)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:09:39.911982,"(4.2, 7.6, 4.88235294117647)","(9.0, 17.0, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 34.44444444444444)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
07-01-2023 19:09:41.117967,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 13.166666666666668)","(4.8, 8.2, 6.747058823529411)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 34.44444444444444)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.625)"
