,Dr Julienne,Green La La,Dr Callie,My Dreamer,Gero Lads,Sweet Lola,Hustle Hustle,Jayville Crew
11-01-2023 18:30:57.701094,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:30:58.912067,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:31:00.196410,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:31:01.513043,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:31:02.851291,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:31:04.129892,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:31:05.329279,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:31:06.569122,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:31:07.826129,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:31:09.110644,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:31:10.343700,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:31:11.585724,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:31:12.751104,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
11-01-2023 18:31:13.959593,"(14.0, 30.0, 20.576923076923077)","(2.6, 4.3, 2.795)","(17.0, 36.0, 22.25)","(2.2, 3.6, 2.7066666666666666)","(13.0, 30.0, 19.0625)","(41.0, 310.0, 173.0)","(4.2, 8.2, 4.7)","(91.0, 590.0, 504.16666666666663)"
