,Le Heros,Hail To The Chief,Du Maurier,Valley Of Dreams,Torbreck
07-12-2022 13:59:12.825827,"(3.2, 3.6, 3.5475000000000003)","(5.5, 9.8, 9.290909090909091)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.916)","(5.5, 6.4, 6.243678160919541)"
07-12-2022 13:59:13.732025,"(3.2, 3.6, 3.5475000000000003)","(5.5, 9.8, 9.290909090909091)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.916)","(5.5, 6.4, 6.243678160919541)"
07-12-2022 13:59:14.725451,"(3.2, 3.6, 3.575438596491228)","(5.5, 9.8, 9.290909090909091)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.916)","(5.5, 6.4, 6.234146341463415)"
07-12-2022 13:59:15.626763,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.8, 9.290909090909091)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.916)","(5.5, 6.4, 6.234146341463415)"
07-12-2022 13:59:16.473926,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.8, 9.290909090909091)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.916)","(5.5, 6.4, 6.234146341463415)"
07-12-2022 13:59:17.363888,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.8, 9.290909090909091)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.916)","(5.5, 6.4, 6.234146341463415)"
07-12-2022 13:59:18.370887,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.8, 9.290909090909091)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.916)","(5.5, 6.4, 6.234146341463415)"
07-12-2022 13:59:19.360163,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.8, 9.290909090909091)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.916)","(5.5, 6.4, 6.234146341463415)"
07-12-2022 13:59:20.254858,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.8, 9.290909090909091)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.916)","(5.5, 6.4, 6.234146341463415)"
07-12-2022 13:59:21.090139,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.8, 9.290909090909091)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.916)","(5.5, 6.4, 6.234146341463415)"
07-12-2022 13:59:22.075824,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.8, 9.114285714285714)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.202898550724638)"
07-12-2022 13:59:23.046676,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.6, 9.061538461538461)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.202898550724638)"
07-12-2022 13:59:24.007625,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.6, 9.061538461538461)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.202898550724638)"
07-12-2022 13:59:24.862387,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.6, 9.061538461538461)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.202898550724638)"
07-12-2022 13:59:25.772573,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.6, 9.061538461538461)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.202898550724638)"
07-12-2022 13:59:26.674700,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.6, 9.061538461538461)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.149152542372882)"
07-12-2022 13:59:27.625591,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.6, 9.061538461538461)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.188888888888889)"
07-12-2022 13:59:28.531853,"(3.2, 3.6, 3.5766666666666667)","(5.5, 9.6, 9.061538461538461)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.2, 6.14468085106383)"
07-12-2022 13:59:29.386958,"(3.2, 3.6, 3.5784615384615384)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.14468085106383)"
07-12-2022 13:59:30.359935,"(3.2, 3.6, 3.5784615384615384)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.14468085106383)"
07-12-2022 13:59:31.381642,"(3.2, 3.6, 3.5784615384615384)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.14468085106383)"
07-12-2022 13:59:32.331630,"(3.2, 3.6, 3.565)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.14468085106383)"
07-12-2022 13:59:33.166913,"(3.2, 3.6, 3.565)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.16842105263158)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.14468085106383)"
07-12-2022 13:59:34.072401,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.16842105263158)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.14468085106383)"
07-12-2022 13:59:35.117804,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.14468085106383)"
07-12-2022 13:59:36.131829,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.14468085106383)"
07-12-2022 13:59:36.999858,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.14468085106383)"
07-12-2022 13:59:37.924140,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.16842105263158)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.14468085106383)"
07-12-2022 13:59:38.967594,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.177777777777777)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.14468085106383)"
07-12-2022 13:59:39.951076,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.177777777777777)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.14468085106383)"
07-12-2022 13:59:40.873072,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.177777777777777)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.114285714285715)"
07-12-2022 13:59:41.726668,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.114285714285715)"
07-12-2022 13:59:42.596384,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.114285714285715)"
07-12-2022 13:59:43.576314,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.114285714285715)"
07-12-2022 13:59:44.558157,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.114285714285715)"
07-12-2022 13:59:45.658332,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.114285714285715)"
07-12-2022 13:59:46.780221,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.213333333333333)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.114285714285715)"
07-12-2022 13:59:47.885708,"(3.2, 3.65, 3.614705882352941)","(5.5, 9.6, 9.049999999999999)","(7.0, 9.8, 9.457142857142857)","(2.5, 2.94, 2.9266666666666667)","(5.5, 6.4, 6.114285714285715)"
