,Cheval De Vaga,Pyms Royale,Time Scale,Cash Away,Hint Of Mint,Magniforce,Tadweer,Goddess Of Giving,My Dilemma
07-01-2023 16:46:33.006551,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.4, 5.218181818181819)","(10.0, 18.0, 16.3125)","(31.0, 100.0, 68.5)","(26.0, 40.0, 36.92307692307692)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.817808219178082)","(13.0, 18.5, 16.3125)"
07-01-2023 16:46:34.191678,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.4, 5.244)","(10.0, 18.0, 15.285714285714286)","(31.0, 95.0, 53.0)","(26.0, 40.0, 38.0)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.817808219178082)","(13.0, 18.5, 16.11111111111111)"
07-01-2023 16:46:35.423123,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.3, 5.188)","(10.0, 16.0, 13.890625)","(31.0, 75.0, 58.8)","(26.0, 40.0, 38.0)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.835714285714286)","(13.0, 18.0, 16.11111111111111)"
07-01-2023 16:46:36.675115,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.3, 5.188)","(10.0, 16.0, 13.890625)","(31.0, 70.0, 58.8)","(26.0, 40.0, 38.0)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.862121212121212)","(13.0, 18.0, 16.11111111111111)"
07-01-2023 16:46:38.018498,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.3, 5.188)","(10.0, 16.0, 15.0)","(31.0, 70.0, 58.8)","(26.0, 40.0, 38.0)","(3.6, 4.5, 4.26)","(4.4, 4.9, 4.862121212121212)","(13.0, 18.0, 16.3)"
07-01-2023 16:46:43.456239,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 135.0)","(3.9, 5.3, 5.188)","(10.0, 15.5, 14.75)","(31.0, 70.0, 58.8)","(26.0, 40.0, 38.0)","(3.6, 4.5, 4.328571428571428)","(4.4, 4.9, 4.65)","(13.0, 17.5, 16.3)"
07-01-2023 16:46:44.787934,"(4.6, 5.2, 5.159550561797753)","(61.0, 160.0, 110.0)","(3.9, 5.3, 5.172727272727273)","(10.0, 15.5, 14.928571428571429)","(31.0, 70.0, 58.0)","(26.0, 40.0, 36.214285714285715)","(3.6, 4.5, 4.34)","(4.4, 4.9, 4.816666666666667)","(13.0, 17.5, 16.75)"
07-01-2023 16:46:46.166353,"(4.6, 5.3, 5.15)","(61.0, 160.0, 113.33333333333333)","(3.9, 5.3, 5.172727272727273)","(10.0, 15.5, 14.928571428571429)","(31.0, 70.0, 58.0)","(26.0, 42.0, 36.214285714285715)","(3.6, 4.5, 4.34)","(4.4, 4.9, 4.816666666666667)","(13.0, 17.5, 16.75)"
07-01-2023 16:46:47.478941,"(4.6, 5.3, 5.15)","(61.0, 160.0, 113.33333333333333)","(3.9, 5.3, 5.172727272727273)","(10.0, 15.5, 14.928571428571429)","(31.0, 70.0, 58.0)","(26.0, 42.0, 36.214285714285715)","(3.6, 4.5, 4.34)","(4.4, 4.9, 4.816666666666667)","(13.0, 17.5, 16.75)"
07-01-2023 16:46:48.805869,"(4.6, 5.3, 5.15)","(61.0, 160.0, 113.33333333333333)","(3.9, 5.3, 5.172727272727273)","(10.0, 15.5, 14.928571428571429)","(31.0, 70.0, 57.333333333333336)","(26.0, 42.0, 36.214285714285715)","(3.6, 4.5, 4.34)","(4.4, 4.9, 4.816666666666667)","(13.0, 17.5, 16.75)"
07-01-2023 16:46:50.060194,"(4.6, 5.3, 5.15)","(61.0, 160.0, 113.33333333333333)","(3.9, 5.3, 5.172727272727273)","(10.0, 15.5, 14.928571428571429)","(31.0, 65.0, 57.333333333333336)","(26.0, 42.0, 39.0)","(3.6, 4.5, 4.34)","(4.4, 4.9, 4.816666666666667)","(13.0, 17.5, 16.75)"
07-01-2023 16:46:51.287969,"(4.6, 5.3, 5.15)","(61.0, 160.0, 113.33333333333333)","(3.9, 5.3, 5.172727272727273)","(10.0, 15.5, 14.928571428571429)","(31.0, 60.0, 54.0)","(26.0, 40.0, 38.0)","(3.6, 4.5, 4.34)","(4.4, 4.9, 4.816666666666667)","(13.0, 17.5, 16.75)"
