,Charming Lass,Marben Val,Always A Show,Aussie Chevy,Subzero Ash,She Flys,Summer Lilly,Indian Wells
11-01-2023 13:11:06.095393,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.142682926829268)","(5.5, 7.2, 6.569696969696969)","(4.6, 7.6, 6.77391304347826)","(9.0, 20.0, 16.0)","(20.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:07.069264,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.65, 3.142682926829268)","(5.5, 7.2, 6.42962962962963)","(4.6, 7.6, 6.77391304347826)","(9.0, 20.0, 16.0)","(20.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:08.095078,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.6, 3.3600000000000003)","(5.5, 7.2, 6.666666666666666)","(4.6, 7.6, 6.77391304347826)","(9.0, 20.0, 16.0)","(20.0, 60.0, 41.14285714285714)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:09.201631,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.6, 3.0433333333333334)","(5.5, 7.2, 6.666666666666666)","(4.6, 7.6, 6.77391304347826)","(9.0, 20.0, 16.0)","(20.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:10.168962,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.55, 2.9816)","(5.5, 7.2, 6.666666666666666)","(4.6, 7.6, 6.030434782608696)","(9.0, 20.0, 16.0)","(21.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.95)"
11-01-2023 13:11:11.143593,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.5, 2.9816)","(5.5, 7.2, 6.245454545454546)","(4.6, 7.6, 6.030434782608696)","(9.0, 20.0, 16.0)","(21.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.95)"
11-01-2023 13:11:12.164605,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.5, 2.968709677419355)","(5.5, 7.2, 6.245454545454546)","(4.6, 7.6, 6.262962962962963)","(9.0, 20.0, 16.0)","(21.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:13.133464,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.5, 2.968709677419355)","(5.5, 7.2, 6.245454545454546)","(4.6, 7.6, 6.262962962962963)","(9.0, 20.0, 16.0)","(21.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:14.184663,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.5, 3.022608695652174)","(5.5, 7.2, 6.245454545454546)","(4.6, 7.6, 6.262962962962963)","(9.0, 20.0, 16.0)","(21.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:15.198710,"(6.0, 13.5, 9.74)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.45, 3.1905882352941175)","(5.5, 7.2, 6.666666666666666)","(4.6, 7.6, 6.262962962962963)","(9.0, 20.0, 16.0)","(21.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:16.202285,"(6.0, 13.5, 11.15)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.45, 3.1168)","(5.5, 7.2, 6.666666666666666)","(4.6, 7.6, 6.65)","(9.0, 20.0, 16.0)","(21.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:17.227477,"(6.0, 13.5, 11.15)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.45, 3.1168)","(5.5, 7.2, 6.666666666666666)","(4.6, 7.6, 6.65)","(9.0, 20.0, 16.0)","(21.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:18.226391,"(6.0, 13.5, 11.15)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.45, 3.1168)","(5.5, 7.2, 6.666666666666666)","(4.6, 7.6, 6.864516129032258)","(9.0, 20.0, 16.0)","(21.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:19.304375,"(6.0, 13.5, 12.776923076923076)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.45, 3.0264406779661015)","(5.5, 7.2, 6.666666666666666)","(4.6, 7.6, 6.864516129032258)","(9.0, 20.0, 16.0)","(21.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:20.291771,"(6.0, 13.5, 12.776923076923076)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.45, 3.0264406779661015)","(5.5, 7.2, 6.245454545454546)","(4.6, 7.6, 6.864516129032258)","(9.0, 20.0, 16.0)","(21.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
11-01-2023 13:11:21.392322,"(6.0, 13.5, 11.25)","(18.0, 34.0, 23.96153846153846)","(2.9, 3.45, 3.0264406779661015)","(5.5, 7.2, 6.245454545454546)","(4.6, 7.6, 6.864516129032258)","(9.0, 20.0, 16.0)","(21.0, 60.0, 42.400000000000006)","(5.5, 6.8, 5.815789473684211)"
