,Sorrento Breeze,Katara Love,Say Some Words,Easy Eddie,Mean Pop
06-01-2023 11:35:14.334368,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:15.258618,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:16.102562,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:16.923495,"(3.9, 6.6, 4.179310344827586)","(13.0, 29.0, 20.38888888888889)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:17.791093,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:18.636421,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:19.475979,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:20.346581,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:21.213022,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:22.054641,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:22.896332,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:23.700235,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:24.518151,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:25.456394,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:26.392460,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:27.244319,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:28.045751,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:28.891605,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:29.737940,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:30.614377,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
06-01-2023 11:35:31.527531,"(3.9, 6.6, 4.179310344827586)","(13.0, 30.0, 20.833333333333332)","(1.35, 1.42, 1.414)","(14.0, 36.0, 31.333333333333336)","(10.0, 18.5, 16.68)"
