,Magical Trav,Wheres The Ford,Two Jabs,Magical Len,Ferocity
08-01-2023 14:05:02.171515,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:03.146213,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:04.035052,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:04.841515,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:05.770632,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:06.619066,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:07.477790,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 25.200000000000003)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:08.362103,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 22.333333333333332)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:09.268675,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 22.333333333333332)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:10.099362,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:11.028079,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
08-01-2023 14:05:11.859265,"(10.0, 28.0, 23.619047619047617)","(2.8, 4.5, 3.7444444444444445)","(31.0, 100.0, 42.4)","(13.0, 38.0, 24.57142857142857)","(1.45, 1.92, 1.9130434782608694)"
