,Claudys Secret,Southwind Chloe,Miss Avenger,Kyvalley Anthony,Grumpee,Romantic Nina
06-01-2023 16:38:48.333049,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:49.289507,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:50.282221,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:51.311464,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:52.328301,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:53.176168,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:54.117231,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:55.250920,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:56.227765,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:57.170720,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:58.210090,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:38:59.222263,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:39:00.356339,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:39:01.362872,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:39:02.375487,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:39:03.294300,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:39:04.270667,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:39:05.203977,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
06-01-2023 16:39:06.174068,"(2.05, 2.82, 2.691111111111111)","(15.0, 24.0, 18.3)","(18.0, 40.0, 23.92857142857143)","(1.95, 3.15, 2.2344444444444447)","(8.0, 12.5, 9.379999999999999)","(21.0, 48.0, 31.5)"
