,Taking A Toll,Zamboras Girl,Kouta Marjen,Dance Mode,Mr Larson,Long Way Home
12-01-2023 14:39:22.242253,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.08)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:23.235238,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.514285714285714)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:24.179944,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.514285714285714)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:25.202466,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.83)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:26.237311,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.83)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:27.125631,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.83)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:28.105699,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.2)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:29.097094,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.2)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:30.127033,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.2)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
12-01-2023 14:39:31.217145,"(10.0, 19.5, 17.25)","(5.5, 10.0, 9.283333333333333)","(2.3, 3.15, 2.3544642857142857)","(6.0, 15.5, 14.2)","(5.0, 8.6, 6.077272727272727)","(4.4, 8.4, 4.74375)"
